name,fgm,fga,fg_pct,pts,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,min,season,player_id,pos,team,date,game_id,plus_minus,dd2,start
K. Anderson,1,4,0.25,2,0,0,0.0,0,0,0.0,0,3,3,2,1,0,0,0,1,0,16.916666666666668,2019-20,203937,Forward,MEM,20191029,21900054,-19,0,False
B. Caboclo,0,3,0.0,0,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,1,2,0,8.483333333333333,2019-20,203998,Forward,MEM,20191029,21900054,-16,0,False
T. Jones,2,4,0.5,4,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,0,16.333333333333332,2019-20,1626145,Guard,MEM,20191029,21900054,-27,0,False
Q. Cook,3,8,0.375,7,1,5,0.2,0,0,0.0,0,3,3,1,2,1,0,0,0,0,22.0,2019-20,1626188,Guard,LAL,20191029,21900054,25,0,False
A. Caruso,0,4,0.0,0,0,2,0.0,0,0,0.0,0,3,3,4,2,3,1,0,0,1,12.75,2019-20,1627936,Guard,LAL,20191029,21900054,14,0,False
D. Brooks,2,7,0.286,8,1,4,0.25,3,3,1.0,0,3,3,4,0,1,0,0,3,3,22.6,2019-20,1628415,Guard,MEM,20191029,21900054,13,0,True
G. Allen,4,14,0.286,13,1,6,0.167,4,4,1.0,1,4,5,1,4,2,0,2,1,3,21.216666666666665,2019-20,1628960,Guard,MEM,20191029,21900054,-36,0,False
J. Jackson Jr.,2,10,0.2,7,1,3,0.333,2,2,1.0,2,4,6,1,1,1,0,0,5,1,18.08333333333333,2019-20,1628991,Forward,MEM,20191029,21900054,11,0,True
D. Melton,0,2,0.0,0,0,0,0.0,0,0,0.0,1,0,1,1,2,1,0,0,0,1,6.4,2019-20,1629001,Guard,MEM,20191029,21900054,-11,0,False
J. Morant,6,13,0.462,16,1,3,0.333,3,3,1.0,1,2,3,2,4,2,0,1,3,3,25.266666666666666,2019-20,1629630,Guard,MEM,20191029,21900054,9,0,True
B. Clarke,4,9,0.444,10,0,0,0.0,2,2,1.0,1,0,1,0,1,1,1,2,4,1,18.516666666666666,2019-20,1629634,Forward,MEM,20191029,21900054,-32,0,False
M. Guduric,0,5,0.0,0,0,4,0.0,0,0,0.0,0,2,2,3,1,0,1,1,1,1,22.95,2019-20,1629741,Guard,MEM,20191029,21900054,-22,0,False
L. Williams,9,17,0.529,24,1,3,0.333,5,7,0.714,0,3,3,4,5,0,0,0,2,5,27.501666666666665,2019-20,101150,Guard,LAC,20191030,21900063,-11,0,True
M. Conley,11,17,0.647,29,5,8,0.625,2,2,1.0,0,1,1,5,2,2,0,0,3,4,32.0,2019-20,201144,Guard,UTA,20191030,21900063,1,0,True
J. Green,3,8,0.375,8,2,4,0.5,0,0,0.0,0,1,1,0,0,3,1,1,1,1,19.466666666666665,2019-20,201145,Forward,UTA,20191030,21900063,8,0,False
P. Beverley,4,13,0.308,8,0,4,0.0,0,0,0.0,1,2,3,0,2,1,0,0,0,3,25.383333333333333,2019-20,201976,Guard,LAC,20191030,21900063,-13,0,True
E. Davis,2,3,0.667,4,0,0,0.0,0,0,0.0,3,6,9,1,1,0,1,0,1,0,14.0,2019-20,202334,Center,UTA,20191030,21900063,13,0,False
P. Patterson,1,4,0.25,3,1,2,0.5,0,0,0.0,1,2,3,2,0,0,0,0,2,2,28.966666666666665,2019-20,202335,Forward,LAC,20191030,21900063,5,0,True
B. Bogdanovic,5,11,0.455,14,2,5,0.4,2,2,1.0,0,4,4,2,4,0,0,1,3,1,30.683333333333334,2019-20,202711,Forward,UTA,20191030,21900063,0,0,True
M. Harkless,1,3,0.333,2,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,0,1,0,17.065,2019-20,203090,Forward,LAC,20191030,21900063,-12,0,False
J. Green,8,11,0.727,23,5,6,0.833,2,2,1.0,1,7,8,0,1,0,1,1,3,2,27.4,2019-20,203210,Forward,LAC,20191030,21900063,-12,0,False
R. Gobert,5,7,0.714,13,0,0,0.0,3,8,0.375,0,7,7,0,1,1,2,1,3,9,32.63333333333333,2019-20,203497,Center,UTA,20191030,21900063,3,0,True
R. McGruder,0,3,0.0,0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,3,1,17.948333333333334,2019-20,203585,Guard,LAC,20191030,21900063,-19,0,False
J. Ingles,4,8,0.5,10,2,4,0.5,0,0,0.0,0,2,2,7,1,2,0,0,3,1,31.05,2019-20,204060,Forward,UTA,20191030,21900063,27,0,False
E. Mudiay,4,9,0.444,8,0,1,0.0,0,0,0.0,0,3,3,5,1,1,1,1,0,2,16.0,2019-20,1626144,Guard,UTA,20191030,21900063,13,0,False
M. Harrell,5,9,0.556,10,0,0,0.0,0,0,0.0,0,2,2,0,1,0,1,1,4,0,13.65,2019-20,1626149,Forward,LAC,20191030,21900063,-14,0,False
R. O'Neale,0,0,0.0,0,0,0,0.0,0,0,0.0,0,4,4,1,1,1,0,0,1,0,23.716666666666665,2019-20,1626220,Forward,UTA,20191030,21900063,5,0,True
G. Niang,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.3666666666666667,2019-20,1627777,Forward,UTA,20191030,21900063,-2,0,False
I. Zubac,4,4,1.0,8,0,0,0.0,0,0,0.0,2,6,8,1,1,0,2,0,1,1,17.766666666666666,2019-20,1627826,Center,LAC,20191030,21900063,3,0,True
D. Mitchell,10,17,0.588,24,0,2,0.0,4,4,1.0,0,5,5,2,2,2,0,0,3,4,34.983333333333334,2019-20,1628378,Guard,UTA,20191030,21900063,8,0,True
T. Bradley,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.3666666666666667,2019-20,1628396,Center,UTA,20191030,21900063,-2,0,False
N. Williams-Goss,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1.3666666666666667,2019-20,1628430,Guard,UTA,20191030,21900063,-2,0,False
D. Walton Jr.,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.3666666666666667,2019-20,1628476,Guard,LAC,20191030,21900063,2,0,False
J. Robinson,4,7,0.571,9,1,3,0.333,0,0,0.0,0,2,2,3,5,0,0,0,2,1,18.7,2019-20,1629010,Guard,LAC,20191030,21900063,-2,0,False
L. Shamet,1,7,0.143,5,0,3,0.0,3,3,1.0,0,1,1,2,3,1,0,1,3,1,32.885,2019-20,1629013,Guard,LAC,20191030,21900063,-8,0,True
T. Mann,2,3,0.667,4,0,0,0.0,0,0,0.0,1,2,3,5,1,1,0,0,1,2,10.0,2019-20,1629611,Guard,LAC,20191030,21900063,9,0,False
M. Kabengele,0,1,0.0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.3666666666666667,2019-20,1629662,Forward,LAC,20191030,21900063,2,0,False
S. Kidd,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.3666666666666667,2019-20,1629742,Forward,UTA,20191030,21900063,-2,0,False
A. Horford,3,14,0.214,7,1,4,0.25,0,0,0.0,1,3,4,2,1,2,1,2,0,0,28.633333333333333,2019-20,201143,Center,PHI,20191106,21900110,-11,0,True
M. Conley,6,15,0.4,15,1,3,0.333,2,3,0.667,2,4,6,2,4,2,1,0,0,3,34.26166666666666,2019-20,201144,Guard,UTA,20191106,21900110,19,0,True
J. Green,1,6,0.167,3,1,4,0.25,0,0,0.0,0,6,6,0,1,0,0,0,1,0,18.55,2019-20,201145,Forward,UTA,20191106,21900110,-13,0,False
T. Harris,4,11,0.364,16,0,1,0.0,8,10,0.8,1,6,7,3,2,0,0,0,2,5,34.85,2019-20,202699,Forward,PHI,20191106,21900110,-13,0,True
B. Bogdanovic,9,18,0.5,20,2,5,0.4,0,1,0.0,0,6,6,5,3,1,1,2,1,2,35.45,2019-20,202711,Forward,UTA,20191106,21900110,21,0,True
M. Scott,2,3,0.667,5,1,2,0.5,0,0,0.0,0,2,2,0,1,0,0,0,3,0,18.33333333333333,2019-20,203118,Forward,PHI,20191106,21900110,14,0,False
R. Gobert,4,8,0.5,14,0,0,0.0,6,8,0.75,4,12,16,3,0,3,1,1,6,6,36.12833333333333,2019-20,203497,Center,UTA,20191106,21900110,9,1,True
J. Ennis III,2,2,1.0,4,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,9.3,2019-20,203516,Forward,PHI,20191106,21900110,-13,0,False
R. Neto,5,11,0.455,11,1,2,0.5,0,0,0.0,0,3,3,4,4,3,0,1,2,0,30.15833333333333,2019-20,203526,Guard,PHI,20191106,21900110,9,0,False
J. Embiid,5,16,0.313,27,1,5,0.2,16,18,0.889,4,12,16,3,3,0,2,1,5,10,35.833333333333336,2019-20,203954,Center,PHI,20191106,21900110,7,1,True
J. Ingles,6,11,0.545,16,2,5,0.4,2,2,1.0,1,1,2,2,0,0,0,0,3,3,29.23333333333333,2019-20,204060,Forward,UTA,20191106,21900110,-8,0,False
J. Richardson,8,13,0.615,24,2,6,0.333,6,6,1.0,1,3,4,4,1,3,0,0,3,4,34.68333333333333,2019-20,1626196,Guard,PHI,20191106,21900110,11,0,True
R. O'Neale,1,2,0.5,5,1,1,1.0,2,2,1.0,0,4,4,1,1,1,1,0,1,1,28.221666666666668,2019-20,1626220,Forward,UTA,20191106,21900110,15,0,True
B. Simmons,1,2,0.5,2,0,0,0.0,0,0,0.0,0,1,1,2,0,1,0,0,0,1,10.083333333333334,2019-20,1627732,Guard,PHI,20191106,21900110,-7,0,True
G. Niang,0,1,0.0,1,0,0,0.0,1,2,0.5,0,2,2,0,0,0,0,0,4,1,10.85,2019-20,1627777,Forward,UTA,20191106,21900110,-17,0,False
F. Korkmaz,2,4,0.5,6,2,4,0.5,0,0,0.0,0,3,3,0,0,0,0,0,2,1,24.805,2019-20,1627788,Guard,PHI,20191106,21900110,6,0,False
D. Mitchell,10,23,0.435,24,1,4,0.25,3,6,0.5,4,1,5,8,4,1,0,0,2,4,35.43333333333333,2019-20,1628378,Guard,UTA,20191106,21900110,-9,0,True
T. Bradley,4,5,0.8,8,0,0,0.0,0,0,0.0,3,0,3,0,0,1,0,0,3,0,11.871666666666666,2019-20,1628396,Center,UTA,20191106,21900110,-7,0,False
M. Thybulle,1,4,0.25,2,0,1,0.0,0,0,0.0,0,1,1,2,1,0,0,0,3,0,13.32,2019-20,1629680,Guard,PHI,20191106,21900110,-13,0,False
D. Augustin,4,10,0.4,8,0,2,0.0,0,0,0.0,0,2,2,6,0,1,0,2,1,0,23.6,2019-20,201571,Guard,ORL,20191110,21900133,-12,0,False
A. Aminu,1,2,0.5,2,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,12.916666666666666,2019-20,202329,Forward,ORL,20191110,21900133,2,0,False
N. Vucevic,8,17,0.471,18,2,5,0.4,0,0,0.0,3,14,17,3,2,1,2,0,4,0,34.75,2019-20,202696,Center,ORL,20191110,21900133,-6,1,True
T. Ross,5,6,0.833,12,2,3,0.667,0,0,0.0,0,2,2,0,1,1,0,0,0,0,18.8,2019-20,203082,Guard,ORL,20191110,21900133,-4,0,False
E. Fournier,7,13,0.538,22,6,8,0.75,2,2,1.0,0,3,3,6,1,0,1,0,4,1,30.35,2019-20,203095,Guard,ORL,20191110,21900133,1,0,True
J. Holiday,2,2,1.0,5,1,1,1.0,0,0,0.0,0,2,2,2,1,1,0,0,1,1,22.255,2019-20,203200,Forward,IND,20191110,21900133,10,0,False
M. Carter-Williams,1,8,0.125,4,0,5,0.0,2,3,0.667,1,1,2,3,1,0,1,0,0,3,20.48333333333333,2019-20,203487,Guard,ORL,20191110,21900133,-8,0,False
D. McDermott,7,13,0.538,18,3,7,0.429,1,1,1.0,2,4,6,1,0,0,0,1,1,1,25.77833333333333,2019-20,203926,Forward,IND,20191110,21900133,9,0,False
A. Gordon,5,10,0.5,13,2,5,0.4,1,1,1.0,1,1,2,3,1,0,1,1,1,1,30.05,2019-20,203932,Forward,ORL,20191110,21900133,-8,0,True
T. Warren,9,16,0.563,19,1,1,1.0,0,0,0.0,0,2,2,2,1,1,0,2,1,0,34.78333333333333,2019-20,203933,Forward,IND,20191110,21900133,0,0,True
J. Sampson,1,1,1.0,2,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,2,0,23.916666666666668,2019-20,203960,Forward,IND,20191110,21900133,1,0,True
T. McConnell,6,9,0.667,12,0,0,0.0,0,0,0.0,0,3,3,8,0,0,1,0,1,0,19.716666666666665,2019-20,204456,Guard,IND,20191110,21900133,6,0,False
D. Sabonis,9,18,0.5,21,0,2,0.0,3,4,0.75,3,13,16,7,2,1,1,3,2,4,37.53333333333333,2019-20,1627734,Forward,IND,20191110,21900133,5,1,True
M. Brogdon,9,17,0.529,19,1,3,0.333,0,0,0.0,0,5,5,8,4,1,0,2,1,3,29.33333333333333,2019-20,1627763,Guard,IND,20191110,21900133,-4,0,True
M. Fultz,4,7,0.571,8,0,1,0.0,0,0,0.0,0,2,2,4,0,1,0,0,0,2,24.4,2019-20,1628365,Guard,ORL,20191110,21900133,5,0,True
J. Isaac,4,9,0.444,10,2,4,0.5,0,0,0.0,0,3,3,2,3,0,2,0,0,4,31.4,2019-20,1628371,Forward,ORL,20191110,21900133,-4,0,True
T. Leaf,1,5,0.2,2,0,0,0.0,0,0,0.0,2,2,4,0,0,0,1,2,0,0,10.466666666666669,2019-20,1628388,Forward,IND,20191110,21900133,2,0,False
M. Bamba,2,7,0.286,5,1,2,0.5,0,0,0.0,2,1,3,0,1,1,4,0,0,1,13.25,2019-20,1628964,Center,ORL,20191110,21900133,-1,0,False
A. Holiday,4,9,0.444,11,3,6,0.5,0,0,0.0,1,0,1,3,1,1,0,0,3,0,26.566666666666663,2019-20,1628988,Guard,IND,20191110,21900133,0,0,True
A. Johnson,0,1,0.0,0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,1,1,1,9.65,2019-20,1628993,Forward,IND,20191110,21900133,6,0,False
C. Miles,6,10,0.6,21,6,7,0.857,3,3,1.0,0,0,0,1,2,1,0,0,2,1,20.086666666666662,2019-20,101139,Guard,WAS,20191117,21900185,-1,0,False
D. Augustin,5,9,0.556,13,3,5,0.6,0,0,0.0,0,3,3,3,2,0,0,1,0,1,24.366666666666667,2019-20,201571,Guard,ORL,20191117,21900185,-4,0,False
A. Aminu,2,8,0.25,6,0,3,0.0,2,2,1.0,1,5,6,2,2,0,0,1,1,1,31.98333333333333,2019-20,202329,Forward,ORL,20191117,21900185,3,0,True
I. Smith,2,7,0.286,4,0,2,0.0,0,0,0.0,0,4,4,5,1,1,1,2,0,0,19.28333333333333,2019-20,202397,Guard,WAS,20191117,21900185,0,0,False
N. Vucevic,11,14,0.786,30,3,4,0.75,5,5,1.0,7,10,17,6,3,0,1,0,3,6,32.86666666666667,2019-20,202696,Center,ORL,20191117,21900185,10,1,True
D. Bertans,5,11,0.455,15,5,11,0.455,0,0,0.0,3,5,8,1,1,2,0,0,4,2,32.5,2019-20,202722,Forward,WAS,20191117,21900185,11,0,False
I. Thomas,6,13,0.462,13,0,3,0.0,1,2,0.5,0,0,0,5,0,2,0,0,2,3,28.716666666666665,2019-20,202738,Guard,WAS,20191117,21900185,-4,0,True
B. Beal,12,26,0.462,34,5,10,0.5,5,6,0.833,1,5,6,8,3,1,0,1,4,4,39.6,2019-20,203078,Guard,WAS,20191117,21900185,-5,0,True
T. Ross,4,11,0.364,15,1,7,0.143,6,6,1.0,0,4,4,1,0,2,0,0,2,2,24.666666666666668,2019-20,203082,Guard,ORL,20191117,21900185,5,0,False
E. Fournier,7,13,0.538,25,5,8,0.625,6,8,0.75,0,1,1,9,1,1,0,0,2,4,31.08333333333333,2019-20,203095,Guard,ORL,20191117,21900185,12,0,True
M. Carter-Williams,0,2,0.0,0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,1,5.683333333333334,2019-20,203487,Guard,ORL,20191117,21900185,-5,0,False
A. Gordon,5,16,0.313,13,1,5,0.2,2,2,1.0,1,8,9,2,0,0,0,0,0,2,36.55,2019-20,203932,Forward,ORL,20191117,21900185,4,0,True
M. Fultz,8,10,0.8,19,2,3,0.667,1,1,1.0,0,3,3,2,4,1,0,0,4,1,25.886666666666667,2019-20,1628365,Guard,ORL,20191117,21900185,3,0,True
W. Iwundu,0,0,0.0,2,0,0,0.0,2,2,1.0,0,2,2,0,0,1,1,0,0,1,11.78,2019-20,1628411,Forward,ORL,20191117,21900185,-2,0,False
T. Bryant,6,10,0.6,14,1,2,0.5,1,1,1.0,2,4,6,4,0,0,1,0,4,2,27.6,2019-20,1628418,Center,WAS,20191117,21900185,-4,0,True
M. Bamba,1,4,0.25,2,0,1,0.0,0,0,0.0,2,4,6,0,2,0,1,0,2,2,15.133333333333333,2019-20,1628964,Center,ORL,20191117,21900185,-6,0,False
T. Brown Jr.,1,5,0.2,2,0,2,0.0,0,0,0.0,1,6,7,2,1,0,0,0,1,0,23.9,2019-20,1628972,Guard,WAS,20191117,21900185,-14,0,True
M. Wagner,5,8,0.625,12,2,4,0.5,0,0,0.0,1,2,3,3,1,0,0,0,2,3,20.4,2019-20,1629021,Forward,WAS,20191117,21900185,0,0,False
R. Hachimura,3,7,0.429,6,0,0,0.0,0,0,0.0,1,3,4,2,0,0,0,0,2,0,27.91333333333333,2019-20,1629060,Forward,WAS,20191117,21900185,-3,0,True
T. Gibson,2,6,0.333,7,0,0,0.0,3,4,0.75,6,2,8,1,0,0,0,0,3,4,15.75,2019-20,201959,Forward,NYK,20191118,21900189,17,0,True
