team,date,matchup,wl,min,pts,team_id,game_id,season,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,bubble,sample
HOU,2020-02-07,HOU @ PHX,L,241,91,1610612745,0021900774,2019-20,29,85,0.341,11,48,0.229,22,26,0.846,8,21,29,16,8,5,15,21,-36.0,False,False
HOU,2020-02-06,HOU @ LAL,W,239,121,1610612745,0021900768,2019-20,43,85,0.506,19,42,0.452,16,18,0.889,6,31,37,20,8,4,16,22,10.0,False,False
HOU,2020-02-04,HOU vs. CHA,W,240,125,1610612745,0021900752,2019-20,43,97,0.443,20,60,0.333,19,23,0.826,7,34,41,25,11,5,4,19,15.0,False,False
HOU,2020-02-02,HOU vs. NOP,W,241,117,1610612745,0021900738,2019-20,41,105,0.39,16,51,0.314,19,22,0.864,11,32,43,22,14,3,7,18,8.0,False,False
HOU,2020-01-31,HOU vs. DAL,W,239,128,1610612745,0021900722,2019-20,45,98,0.459,21,45,0.467,17,20,0.85,7,30,37,25,11,5,6,20,7.0,False,False
HOU,2020-01-29,HOU @ POR,L,240,112,1610612745,0021900712,2019-20,40,94,0.426,17,47,0.362,15,18,0.833,9,30,39,21,8,5,15,23,-13.0,False,False
HOU,2020-01-27,HOU @ UTA,W,240,126,1610612745,0021900698,2019-20,38,81,0.469,15,40,0.375,35,49,0.714,6,34,40,14,11,4,15,25,9.0,False,False
HOU,2020-01-26,HOU @ DEN,L,239,110,1610612745,0021900685,2019-20,40,88,0.455,11,33,0.333,19,27,0.704,15,29,44,19,6,7,16,21,-7.0,False,True
HOU,2020-01-24,HOU @ MIN,W,241,131,1610612745,0021900675,2019-20,47,91,0.516,11,32,0.344,26,31,0.839,5,30,35,24,11,9,11,18,7.0,False,False
HOU,2020-01-22,HOU vs. DEN,W,240,121,1610612745,0021900662,2019-20,42,89,0.472,13,29,0.448,24,28,0.857,18,35,53,26,10,7,17,16,16.0,False,False
HOU,2020-01-20,HOU vs. OKC,L,240,107,1610612745,0021900645,2019-20,43,97,0.443,9,45,0.2,12,17,0.706,9,34,43,21,6,7,11,23,-5.0,False,False
HOU,2020-01-18,HOU vs. LAL,L,241,115,1610612745,0021900633,2019-20,40,90,0.444,12,37,0.324,23,29,0.793,11,35,46,20,8,4,20,26,-9.0,False,False
HOU,2020-01-15,HOU vs. POR,L,240,107,1610612745,0021900611,2019-20,38,96,0.396,16,49,0.327,15,23,0.652,12,38,50,24,4,4,12,22,-10.0,False,False
HOU,2020-01-14,HOU @ MEM,L,239,110,1610612745,0021900600,2019-20,37,86,0.43,14,45,0.311,22,24,0.917,9,32,41,18,4,2,15,23,-11.0,False,False
HOU,2020-01-11,HOU vs. MIN,W,241,139,1610612745,0021900577,2019-20,49,95,0.516,18,45,0.4,23,29,0.793,12,46,58,29,9,6,18,24,30.0,False,False
HOU,2020-01-09,HOU @ OKC,L,241,92,1610612745,0021900566,2019-20,34,89,0.382,11,40,0.275,13,14,0.929,8,31,39,16,4,3,14,21,-21.0,False,False
HOU,2020-01-08,HOU @ ATL,W,240,122,1610612745,0021900558,2019-20,39,92,0.424,13,45,0.289,31,41,0.756,16,43,59,22,7,7,13,21,7.0,False,False
HOU,2020-01-03,HOU vs. PHI,W,240,118,1610612745,0021900520,2019-20,41,86,0.477,12,32,0.375,24,32,0.75,8,38,46,22,6,3,11,24,10.0,False,False
HOU,2019-12-31,HOU vs. DEN,W,241,130,1610612745,0021900501,2019-20,46,87,0.529,16,34,0.471,22,31,0.71,13,30,43,20,6,7,15,17,26.0,False,False
HOU,2019-12-29,HOU @ NOP,L,239,112,1610612745,0021900488,2019-20,42,81,0.519,15,39,0.385,13,20,0.65,8,33,41,29,5,3,17,16,-15.0,False,False
HOU,2019-12-28,HOU vs. BKN,W,240,108,1610612745,0021900478,2019-20,44,101,0.436,13,42,0.31,7,16,0.438,16,38,54,16,7,6,14,15,10.0,False,False
HOU,2019-12-25,HOU @ GSW,L,240,104,1610612745,0021900457,2019-20,37,100,0.37,16,51,0.314,14,16,0.875,14,35,49,19,8,3,12,25,-12.0,False,False
HOU,2019-12-23,HOU @ SAC,W,241,113,1610612745,0021900453,2019-20,39,87,0.448,15,39,0.385,20,23,0.87,6,33,39,18,10,3,11,22,9.0,False,False
HOU,2019-12-21,HOU @ PHX,W,240,139,1610612745,0021900437,2019-20,51,87,0.586,19,41,0.463,18,23,0.783,5,32,37,23,4,5,10,23,14.0,False,False
HOU,2019-12-19,HOU @ LAC,W,241,122,1610612745,0021900419,2019-20,43,86,0.5,14,37,0.378,22,29,0.759,10,33,43,23,9,4,18,20,5.0,False,False
HOU,2019-12-16,HOU vs. SAS,W,238,109,1610612745,0021900396,2019-20,40,98,0.408,11,43,0.256,18,27,0.667,14,44,58,20,9,6,12,19,2.0,False,True
HOU,2019-12-14,HOU vs. DET,L,239,107,1610612745,0021900386,2019-20,41,102,0.402,13,45,0.289,12,18,0.667,11,35,46,18,9,8,11,19,-8.0,False,False
HOU,2019-12-13,HOU @ ORL,W,241,130,1610612745,0021900371,2019-20,48,86,0.558,22,39,0.564,12,13,0.923,7,35,42,21,5,7,9,20,23.0,False,False
HOU,2019-12-11,HOU @ CLE,W,241,116,1610612745,0021900356,2019-20,43,87,0.494,17,42,0.405,13,13,1.0,11,25,36,18,10,6,13,14,6.0,False,False
HOU,2019-12-09,HOU vs. SAC,L,241,118,1610612745,0021900346,2019-20,41,84,0.488,17,50,0.34,19,23,0.826,11,40,51,25,4,6,19,20,-1.0,False,False
HOU,2019-12-07,HOU vs. PHX,W,239,115,1610612745,0021900333,2019-20,41,91,0.451,11,40,0.275,22,30,0.733,10,41,51,21,10,7,15,28,6.0,False,False
HOU,2019-12-05,HOU @ TOR,W,240,119,1610612745,0021900318,2019-20,40,98,0.408,22,55,0.4,17,19,0.895,20,34,54,29,11,2,22,24,10.0,False,False
HOU,2019-12-03,HOU @ SAS,L,290,133,1610612745,0021900303,2019-20,42,111,0.378,15,51,0.294,34,36,0.944,18,42,60,22,11,7,17,30,-2.0,False,False
HOU,2019-11-30,HOU vs. ATL,W,241,158,1610612745,0021900282,2019-20,52,89,0.584,25,51,0.49,29,34,0.853,13,39,52,30,9,2,15,23,47.0,False,False
HOU,2019-11-27,HOU vs. MIA,W,239,117,1610612745,0021900259,2019-20,38,83,0.458,15,44,0.341,26,33,0.788,9,34,43,19,11,2,15,22,9.0,False,False
HOU,2019-11-24,HOU vs. DAL,L,240,123,1610612745,0021900235,2019-20,45,98,0.459,10,44,0.227,23,31,0.742,15,39,54,26,5,2,11,26,-14.0,False,False
HOU,2019-11-22,HOU @ LAC,L,240,119,1610612745,0021900224,2019-20,39,84,0.464,15,43,0.349,26,38,0.684,11,32,43,22,11,2,15,27,-3.0,False,False
HOU,2019-11-20,HOU @ DEN,L,240,95,1610612745,0021900211,2019-20,32,76,0.421,12,38,0.316,19,25,0.76,9,34,43,19,9,2,20,22,-10.0,False,False
HOU,2019-11-18,HOU vs. POR,W,238,132,1610612745,0021900193,2019-20,47,100,0.47,17,45,0.378,21,26,0.808,17,41,58,24,9,10,16,21,24.0,False,False
HOU,2019-11-16,HOU @ MIN,W,240,125,1610612745,0021900179,2019-20,43,94,0.457,19,49,0.388,20,22,0.909,14,28,42,15,7,3,12,18,20.0,False,False
HOU,2019-11-15,HOU vs. IND,W,240,111,1610612745,0021900169,2019-20,36,89,0.404,14,46,0.304,25,29,0.862,10,34,44,12,11,3,8,23,9.0,False,False
HOU,2019-11-13,HOU vs. LAC,W,241,102,1610612745,0021900157,2019-20,33,86,0.384,14,42,0.333,22,27,0.815,9,44,53,12,7,6,10,17,9.0,False,False
HOU,2019-11-11,HOU @ NOP,W,240,122,1610612745,0021900142,2019-20,44,85,0.518,12,41,0.293,22,32,0.688,7,40,47,16,9,6,17,22,6.0,False,False
HOU,2019-11-09,HOU @ CHI,W,239,117,1610612745,0021900129,2019-20,39,83,0.47,19,44,0.432,20,28,0.714,9,46,55,18,12,7,22,21,23.0,False,False
HOU,2019-11-06,HOU vs. GSW,W,240,129,1610612745,0021900107,2019-20,48,97,0.495,21,45,0.467,12,19,0.632,11,39,50,31,7,9,12,20,17.0,False,False
HOU,2019-11-04,HOU @ MEM,W,239,107,1610612745,0021900093,2019-20,35,93,0.376,17,50,0.34,20,29,0.69,14,37,51,20,6,5,18,21,7.0,False,False
HOU,2019-11-03,HOU @ MIA,L,239,100,1610612745,0021900086,2019-20,31,79,0.392,14,48,0.292,24,31,0.774,4,34,38,19,6,5,22,24,-29.0,False,False
HOU,2019-11-01,HOU @ BKN,L,241,116,1610612745,0021900069,2019-20,41,99,0.414,12,48,0.25,22,27,0.815,9,31,40,21,13,4,12,21,-7.0,False,False
HOU,2019-10-30,HOU @ WAS,W,241,159,1610612745,0021900061,2019-20,55,103,0.534,23,54,0.426,26,33,0.788,19,25,44,34,10,5,13,24,1.0,False,False
HOU,2019-10-28,HOU vs. OKC,W,240,116,1610612745,0021900045,2019-20,39,90,0.433,10,44,0.227,28,33,0.848,9,31,40,21,6,6,14,24,4.0,False,False
HOU,2019-10-26,HOU vs. NOP,W,240,126,1610612745,0021900032,2019-20,43,94,0.457,13,45,0.289,27,30,0.9,9,36,45,27,7,4,19,22,3.0,False,False
HOU,2019-10-24,HOU vs. MIL,L,240,111,1610612745,0021900015,2019-20,33,90,0.367,16,48,0.333,29,39,0.744,10,47,57,25,6,6,14,25,-6.0,False,False
IND,2020-08-14,IND vs. MIA,W,239,109,1610612754,0021901316,2019-20,43,89,0.483,15,38,0.395,8,11,0.727,12,39,51,32,11,3,19,27,17.0,True,False
IND,2020-08-12,IND @ HOU,W,240,108,1610612754,0021901304,2019-20,40,100,0.4,11,31,0.355,17,22,0.773,12,42,54,25,15,7,14,25,4.0,True,True
IND,2020-08-10,IND @ MIA,L,238,92,1610612754,0021901295,2019-20,33,84,0.393,10,35,0.286,16,25,0.64,6,39,45,20,5,4,17,19,-22.0,True,True
IND,2020-08-08,IND vs. LAL,W,239,116,1610612754,0021901282,2019-20,44,84,0.524,15,33,0.455,13,14,0.929,7,35,42,25,12,4,20,21,5.0,True,True
IND,2020-08-06,IND @ PHX,L,240,99,1610612754,0021901270,2019-20,37,85,0.435,10,29,0.345,15,19,0.789,5,33,38,20,6,5,15,22,-15.0,True,True
IND,2020-08-04,IND vs. ORL,W,241,120,1610612754,0021901259,2019-20,46,84,0.548,13,33,0.394,15,19,0.789,2,30,32,29,10,3,7,17,11.0,True,False
IND,2020-08-03,IND @ WAS,W,240,111,1610612754,0021901252,2019-20,44,92,0.478,7,26,0.269,16,16,1.0,9,36,45,20,6,11,10,15,11.0,True,True
IND,2020-08-01,IND vs. PHI,W,242,127,1610612754,0021901242,2019-20,48,95,0.505,14,34,0.412,17,23,0.739,10,24,34,31,8,5,10,25,6.0,True,False
IND,2020-03-10,IND vs. BOS,L,239,111,1610612754,0021900960,2019-20,46,93,0.495,9,24,0.375,10,11,0.909,10,33,43,23,5,8,12,20,-3.0,False,False
IND,2020-03-08,IND @ DAL,W,239,112,1610612754,0021900952,2019-20,46,88,0.523,8,23,0.348,12,18,0.667,6,41,47,23,5,6,10,23,3.0,False,False
IND,2020-03-06,IND @ CHI,W,238,108,1610612754,0021900934,2019-20,38,75,0.507,8,22,0.364,24,33,0.727,10,36,46,24,9,8,21,16,6.0,False,False
IND,2020-03-04,IND @ MIL,L,240,100,1610612754,0021900924,2019-20,42,97,0.433,7,27,0.259,9,11,0.818,7,32,39,22,12,2,15,18,-19.0,False,False
IND,2020-03-02,IND @ SAS,W,240,116,1610612754,0021900908,2019-20,39,78,0.5,15,31,0.484,23,26,0.885,6,34,40,22,9,5,13,20,5.0,False,False
IND,2020-02-29,IND @ CLE,W,240,113,1610612754,0021900890,2019-20,47,87,0.54,8,23,0.348,11,14,0.786,8,30,38,30,10,6,13,20,9.0,False,True
IND,2020-02-27,IND vs. POR,W,241,106,1610612754,0021900874,2019-20,40,90,0.444,8,25,0.32,18,23,0.783,13,35,48,21,8,4,11,12,6.0,False,False
IND,2020-02-25,IND vs. CHA,W,239,119,1610612754,0021900857,2019-20,49,86,0.57,10,23,0.435,11,13,0.846,7,49,56,35,8,11,14,17,39.0,False,False
IND,2020-02-23,IND @ TOR,L,239,81,1610612754,0021900843,2019-20,31,95,0.326,8,33,0.242,11,17,0.647,12,27,39,23,13,4,17,20,-46.0,False,False
IND,2020-02-21,IND @ NYK,W,240,106,1610612754,0021900828,2019-20,36,88,0.409,8,28,0.286,26,33,0.788,12,38,50,20,7,5,11,22,8.0,False,False
IND,2020-02-12,IND vs. MIL,W,240,118,1610612754,0021900810,2019-20,45,86,0.523,9,27,0.333,19,24,0.792,8,36,44,28,10,3,14,21,7.0,False,False
IND,2020-02-10,IND vs. BKN,L,240,105,1610612754,0021900794,2019-20,45,92,0.489,7,30,0.233,8,11,0.727,6,34,40,28,7,3,6,21,-1.0,False,False
IND,2020-02-08,IND vs. NOP,L,241,117,1610612754,0021900780,2019-20,44,83,0.53,9,26,0.346,20,27,0.741,2,35,37,25,5,9,14,25,-7.0,False,False
IND,2020-02-07,IND vs. TOR,L,239,106,1610612754,0021900772,2019-20,39,86,0.453,10,34,0.294,18,22,0.818,11,36,47,26,5,5,20,18,-9.0,False,False
IND,2020-02-05,IND @ TOR,L,241,118,1610612754,0021900758,2019-20,43,82,0.524,19,39,0.487,13,16,0.813,8,34,42,29,6,5,18,18,-1.0,False,True
IND,2020-02-03,IND vs. DAL,L,240,103,1610612754,0021900743,2019-20,44,96,0.458,7,34,0.206,8,11,0.727,8,32,40,28,7,6,4,18,-9.0,False,False
IND,2020-02-01,IND vs. NYK,L,241,85,1610612754,0021900728,2019-20,32,76,0.421,8,24,0.333,13,21,0.619,4,30,34,21,4,1,11,20,-7.0,False,False
IND,2020-01-29,IND vs. CHI,W,265,115,1610612754,0021900708,2019-20,46,89,0.517,7,27,0.259,16,22,0.727,13,33,46,26,8,2,17,14,9.0,False,False
IND,2020-01-26,IND @ POR,L,241,129,1610612754,0021900692,2019-20,48,93,0.516,13,28,0.464,20,21,0.952,6,25,31,31,5,2,6,19,-10.0,False,False
IND,2020-01-24,IND @ GSW,W,242,129,1610612754,0021900679,2019-20,50,87,0.575,17,28,0.607,12,13,0.923,5,31,36,35,15,4,10,20,11.0,False,False
IND,2020-01-22,IND @ PHX,W,241,112,1610612754,0021900664,2019-20,45,84,0.536,9,20,0.45,13,20,0.65,4,38,42,26,8,8,9,20,25.0,False,False
IND,2020-01-20,IND @ UTA,L,240,88,1610612754,0021900651,2019-20,39,93,0.419,7,26,0.269,3,7,0.429,9,21,30,23,15,9,13,14,-30.0,False,False
IND,2020-01-19,IND @ DEN,W,240,115,1610612754,0021900638,2019-20,43,86,0.5,13,29,0.448,16,19,0.842,11,27,38,31,1,4,14,25,8.0,False,False
IND,2020-01-17,IND vs. MIN,W,240,116,1610612754,0021900619,2019-20,46,82,0.561,8,24,0.333,16,20,0.8,4,37,41,24,4,8,13,20,2.0,False,False
IND,2020-01-15,IND @ MIN,W,240,104,1610612754,0021900608,2019-20,44,85,0.518,7,23,0.304,9,12,0.75,7,38,45,27,7,3,15,15,5.0,False,False
IND,2020-01-13,IND vs. PHI,W,240,101,1610612754,0021900592,2019-20,33,86,0.384,10,26,0.385,25,31,0.806,13,37,50,24,6,6,9,14,6.0,False,False
IND,2020-01-10,IND @ CHI,W,240,116,1610612754,0021900570,2019-20,48,84,0.571,11,30,0.367,9,14,0.643,8,38,46,31,9,5,11,16,11.0,False,False
IND,2020-01-08,IND vs. MIA,L,239,108,1610612754,0021900556,2019-20,40,84,0.476,9,27,0.333,19,25,0.76,6,31,37,25,5,3,12,18,-14.0,False,False
IND,2020-01-06,IND @ CHA,W,241,115,1610612754,0021900539,2019-20,47,89,0.528,10,26,0.385,11,14,0.786,12,31,43,31,8,5,10,23,11.0,False,False
IND,2020-01-04,IND @ ATL,L,239,111,1610612754,0021900526,2019-20,36,87,0.414,10,27,0.37,29,35,0.829,13,26,39,24,8,4,11,24,-5.0,False,False
IND,2020-01-02,IND vs. DEN,L,240,116,1610612754,0021900509,2019-20,43,82,0.524,12,26,0.462,18,25,0.72,9,25,34,32,7,3,9,21,-8.0,False,False
IND,2019-12-31,IND vs. PHI,W,240,115,1610612754,0021900498,2019-20,42,86,0.488,11,25,0.44,20,26,0.769,5,33,38,35,3,6,6,16,18.0,False,False
IND,2019-12-28,IND @ NOP,L,240,98,1610612754,0021900474,2019-20,33,85,0.388,6,28,0.214,26,29,0.897,12,34,46,17,6,2,18,16,-22.0,False,False
IND,2019-12-27,IND @ MIA,L,239,112,1610612754,0021900470,2019-20,44,90,0.489,14,31,0.452,10,12,0.833,2,32,34,27,8,4,4,16,-1.0,False,False
IND,2019-12-23,IND vs. TOR,W,265,120,1610612754,0021900446,2019-20,45,95,0.474,18,42,0.429,12,20,0.6,13,32,45,34,7,8,12,22,5.0,False,False
IND,2019-12-22,IND @ MIL,L,240,89,1610612754,0021900441,2019-20,37,100,0.37,12,40,0.3,3,5,0.6,10,38,48,27,7,5,13,15,-28.0,False,False
IND,2019-12-20,IND vs. SAC,W,241,119,1610612754,0021900421,2019-20,45,86,0.523,14,31,0.452,15,18,0.833,7,32,39,34,5,7,9,15,14.0,False,False
IND,2019-12-17,IND vs. LAL,W,240,105,1610612754,0021900402,2019-20,41,85,0.482,10,25,0.4,13,20,0.65,13,30,43,22,9,6,12,21,3.0,False,False
IND,2019-12-15,IND vs. CHA,W,240,107,1610612754,0021900389,2019-20,40,88,0.455,10,35,0.286,17,20,0.85,8,43,51,30,6,9,9,25,22.0,False,False
IND,2019-12-13,IND @ ATL,W,240,110,1610612754,0021900373,2019-20,46,92,0.5,7,22,0.318,11,15,0.733,6,40,46,28,7,0,14,21,10.0,False,False
IND,2019-12-11,IND vs. BOS,W,240,122,1610612754,0021900357,2019-20,41,85,0.482,10,25,0.4,30,36,0.833,5,31,36,27,11,4,10,18,5.0,False,False
IND,2019-12-09,IND vs. LAC,L,242,99,1610612754,0021900343,2019-20,34,97,0.351,10,35,0.286,21,28,0.75,14,42,56,16,7,3,13,21,-11.0,False,True
IND,2019-12-07,IND @ NYK,W,239,104,1610612754,0021900331,2019-20,41,85,0.482,12,28,0.429,10,13,0.769,5,37,42,26,7,9,16,17,1.0,False,False
IND,2019-12-06,IND @ DET,L,240,101,1610612754,0021900322,2019-20,38,83,0.458,9,24,0.375,16,20,0.8,5,28,33,24,8,9,11,18,-7.0,False,False
IND,2019-12-04,IND @ OKC,W,239,107,1610612754,0021900312,2019-20,42,87,0.483,9,24,0.375,14,17,0.824,11,28,39,19,5,1,8,21,7.0,False,False
IND,2019-12-02,IND @ MEM,W,240,117,1610612754,0021900296,2019-20,44,88,0.5,16,38,0.421,13,15,0.867,8,36,44,31,4,2,15,22,13.0,False,False
IND,2019-11-30,IND @ PHI,L,240,116,1610612754,0021900281,2019-20,42,76,0.553,11,22,0.5,21,25,0.84,3,28,31,22,7,3,19,24,-3.0,False,False
IND,2019-11-29,IND vs. ATL,W,264,105,1610612754,0021900272,2019-20,39,92,0.424,6,26,0.231,21,28,0.75,9,33,42,19,12,6,15,20,1.0,False,False
IND,2019-11-27,IND vs. UTA,W,241,121,1610612754,0021900256,2019-20,50,96,0.521,8,22,0.364,13,16,0.813,11,31,42,23,8,4,12,19,19.0,False,False
IND,2019-11-25,IND vs. MEM,W,240,126,1610612754,0021900242,2019-20,51,94,0.543,18,33,0.545,6,10,0.6,10,37,47,29,6,6,13,11,12.0,False,False
IND,2019-11-23,IND vs. ORL,W,239,111,1610612754,0021900227,2019-20,43,79,0.544,10,24,0.417,15,16,0.938,7,35,42,26,6,6,19,14,5.0,False,False
IND,2019-11-18,IND @ BKN,W,242,115,1610612754,0021900190,2019-20,44,101,0.436,14,33,0.424,13,17,0.765,15,48,63,26,5,8,10,22,29.0,False,False
IND,2019-11-16,IND vs. MIL,L,240,83,1610612754,0021900176,2019-20,32,100,0.32,12,34,0.353,7,9,0.778,14,40,54,19,8,7,13,10,-19.0,False,False
IND,2019-11-15,IND @ HOU,L,239,102,1610612754,0021900169,2019-20,37,82,0.451,8,33,0.242,20,26,0.769,8,34,42,24,2,2,16,25,-9.0,False,False
IND,2019-11-12,IND vs. OKC,W,239,111,1610612754,0021900146,2019-20,46,94,0.489,7,23,0.304,12,13,0.923,11,39,50,21,6,4,14,20,26.0,False,False
IND,2019-11-10,IND @ ORL,W,241,109,1610612754,0021900133,2019-20,48,91,0.527,9,20,0.45,4,5,0.8,10,33,43,31,6,3,9,13,7.0,False,True
IND,2019-11-08,IND vs. DET,W,240,112,1610612754,0021900116,2019-20,43,83,0.518,4,15,0.267,22,25,0.88,10,34,44,23,6,8,12,16,6.0,False,False
IND,2019-11-06,IND vs. WAS,W,240,121,1610612754,0021900104,2019-20,44,94,0.468,12,30,0.4,21,26,0.808,13,35,48,35,8,3,13,25,15.0,False,False
IND,2019-11-05,IND @ CHA,L,264,120,1610612754,0021900097,2019-20,51,94,0.543,12,30,0.4,6,7,0.857,7,36,43,27,5,7,18,34,-2.0,False,False
IND,2019-11-03,IND vs. CHI,W,241,108,1610612754,0021900085,2019-20,40,85,0.471,8,26,0.308,20,27,0.741,10,39,49,28,6,10,16,24,13.0,False,False
IND,2019-11-01,IND vs. CLE,W,239,102,1610612754,0021900070,2019-20,39,96,0.406,5,27,0.185,19,21,0.905,13,45,58,20,8,10,13,24,7.0,False,False
IND,2019-10-30,IND @ BKN,W,239,118,1610612754,0021900059,2019-20,45,96,0.469,11,26,0.423,17,20,0.85,11,30,41,25,9,2,9,24,10.0,False,False
IND,2019-10-28,IND @ DET,L,241,94,1610612754,0021900041,2019-20,39,94,0.415,6,21,0.286,10,13,0.769,13,32,45,24,11,4,7,18,-2.0,False,False
IND,2019-10-26,IND @ CLE,L,241,99,1610612754,0021900030,2019-20,39,87,0.448,10,28,0.357,11,13,0.846,6,30,36,23,7,3,17,27,-11.0,False,False
IND,2019-10-23,IND vs. DET,L,241,110,1610612754,0021900004,2019-20,41,89,0.461,8,21,0.381,20,24,0.833,10,26,36,26,8,6,15,28,-9.0,False,False
PHI,2020-08-14,PHI @ HOU,W,241,134,1610612755,0021901315,2019-20,49,87,0.563,18,38,0.474,18,22,0.818,8,43,51,31,8,4,16,19,38.0,True,False
PHI,2020-08-12,PHI vs. TOR,L,241,121,1610612755,0021901305,2019-20,39,84,0.464,17,40,0.425,26,33,0.788,9,38,47,27,9,10,17,29,-4.0,True,False
PHI,2020-08-11,PHI vs. PHX,L,240,117,1610612755,0021901299,2019-20,46,93,0.495,15,33,0.455,10,14,0.714,11,23,34,28,5,4,8,20,-13.0,True,True
PHI,2020-08-09,PHI @ POR,L,240,121,1610612755,0021901289,2019-20,47,97,0.485,14,30,0.467,13,17,0.765,14,34,48,24,6,3,15,23,-3.0,True,True
PHI,2020-08-07,PHI vs. ORL,W,241,108,1610612755,0021901277,2019-20,38,93,0.409,8,29,0.276,24,33,0.727,15,36,51,19,4,4,9,20,7.0,True,False
PHI,2020-08-05,PHI @ WAS,W,240,107,1610612755,0021901263,2019-20,38,82,0.463,11,29,0.379,20,29,0.69,6,35,41,27,11,4,14,21,9.0,True,True
PHI,2020-08-03,PHI vs. SAS,W,240,132,1610612755,0021901254,2019-20,46,87,0.529,14,31,0.452,26,30,0.867,8,27,35,26,6,6,13,25,2.0,True,True
PHI,2020-08-01,PHI @ IND,L,240,121,1610612755,0021901242,2019-20,46,93,0.495,9,25,0.36,20,25,0.8,20,35,55,20,6,5,21,30,-6.0,True,False
PHI,2020-03-11,PHI vs. DET,W,241,124,1610612755,0021900971,2019-20,42,83,0.506,14,33,0.424,26,32,0.813,13,37,50,28,7,4,13,18,18.0,False,False
PHI,2020-03-07,PHI @ GSW,L,240,114,1610612755,0021900944,2019-20,41,84,0.488,13,34,0.382,19,22,0.864,11,30,41,29,3,2,11,21,-4.0,False,False
