name,dist,value,made,desc,team,opp,x,y,player_id,game_id,event_id,shot_id,running,jump,hook,layup,driving,dunk,alley,reverse,turnaround,fadeaway,bank,finger,putback,float,pullup,step,cutting,tip,zone,area,date,period,min_left,sec_left
L. James,3,2,False,Driving Layup Shot,LAC,LAL,-23,26,2544,0021900002,324,0021900002-324,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,2,1,18
L. Shamet,1,2,True,Running Layup Shot,LAC,LAL,-2,15,1629013,0021900002,327,0021900002-327,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,2,1,13
A. Davis,4,2,False,Pullup Jump shot,LAC,LAL,-40,21,203076,0021900002,329,0021900002-329,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Less Than 8 ft.,Center(C),20191022,2,0,59
L. Williams,30,3,True,Running Pull-Up Jump Shot,LAC,LAL,-154,258,101150,0021900002,343,0021900002-343,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side Center(LC),20191022,2,0,32
I. Zubac,1,2,True,Cutting Layup Shot,LAC,LAL,-9,5,1627826,0021900002,353,0021900002-353,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Less Than 8 ft.,Center(C),20191022,2,0,5
D. Green,27,3,False,Jump Shot,LAC,LAL,217,172,201980,0021900002,355,0021900002-355,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Right Side Center(RC),20191022,2,0,0
K. Leonard,20,2,False,Pullup Jump shot,LAC,LAL,-204,17,202695,0021900002,365,0021900002-365,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,16-24 ft.,Left Side(L),20191022,3,11,39
J. McGee,1,2,True,Cutting Dunk Shot,LAC,LAL,11,6,201580,0021900002,367,0021900002-367,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Less Than 8 ft.,Center(C),20191022,3,11,20
K. Leonard,12,2,True,Pullup Jump shot,LAC,LAL,-93,80,202695,0021900002,372,0021900002-372,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8-16 ft.,Left Side(L),20191022,3,11,0
A. Davis,18,2,False,Turnaround Jump Shot,LAC,LAL,-89,159,203076,0021900002,374,0021900002-374,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,16-24 ft.,Left Side Center(LC),20191022,3,10,40
I. Zubac,3,2,True,Hook Bank Shot,LAC,LAL,-27,22,1627826,0021900002,376,0021900002-376,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,3,10,30
A. Bradley,25,3,False,Jump Shot,LAC,LAL,-79,246,202340,0021900002,378,0021900002-378,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Center(C),20191022,3,10,5
P. Patterson,27,3,True,Pullup Jump shot,LAC,LAL,177,207,202335,0021900002,380,0021900002-380,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,24+ ft.,Right Side Center(RC),20191022,3,9,56
D. Green,24,3,True,Jump Shot,LAC,LAL,241,34,201980,0021900002,383,0021900002-383,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Right Side(R),20191022,3,9,41
K. Leonard,13,2,False,Turnaround Fadeaway shot,LAC,LAL,-137,-14,202695,0021900002,385,0021900002-385,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,8-16 ft.,Left Side(L),20191022,3,9,14
I. Zubac,2,2,True,Turnaround Bank Hook Shot,LAC,LAL,14,25,1627826,0021900002,392,0021900002-392,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,3,8,38
L. James,6,2,False,Driving Floating Jump Shot,LAC,LAL,-2,68,2544,0021900002,394,0021900002-394,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Less Than 8 ft.,Center(C),20191022,3,8,17
D. Green,26,3,True,Jump Shot,LAC,LAL,-154,218,201980,0021900002,400,0021900002-400,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side Center(LC),20191022,3,7,54
L. James,1,2,False,Driving Layup Shot,LAC,LAL,-16,8,2544,0021900002,408,0021900002-408,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,3,7,19
J. McGee,0,2,False,Tip Layup Shot,LAC,LAL,0,-6,201580,0021900002,410,0021900002-410,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Less Than 8 ft.,Center(C),20191022,3,7,16
A. Davis,1,2,False,Tip Dunk Shot,LAC,LAL,0,17,203076,0021900002,412,0021900002-412,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,Less Than 8 ft.,Center(C),20191022,3,7,14
L. Shamet,3,2,False,Running Layup Shot,LAC,LAL,-11,32,1629013,0021900002,414,0021900002-414,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,3,7,10
L. James,2,2,True,Running Layup Shot,LAC,LAL,1,21,2544,0021900002,416,0021900002-416,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,3,7,9
L. Williams,6,2,True,Driving Floating Jump Shot,LAC,LAL,-12,68,101150,0021900002,419,0021900002-419,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Less Than 8 ft.,Center(C),20191022,3,6,55
L. Williams,21,2,True,Pullup Jump shot,LAC,LAL,-133,169,101150,0021900002,428,0021900002-428,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,16-24 ft.,Left Side Center(LC),20191022,3,6,18
L. Williams,27,3,False,Jump Shot,LAC,LAL,-180,211,101150,0021900002,430,0021900002-430,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side Center(LC),20191022,3,5,52
L. James,26,3,False,Jump Shot,LAC,LAL,-127,235,2544,0021900002,438,0021900002-438,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side Center(LC),20191022,3,5,30
P. Patterson,29,3,False,Jump Shot,LAC,LAL,-168,248,202335,0021900002,440,0021900002-440,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side Center(LC),20191022,3,5,21
L. Shamet,1,2,False,Running Layup Shot,LAC,LAL,-11,12,1629013,0021900002,444,0021900002-444,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,3,5,1
A. Davis,1,2,True,Finger Roll Layup Shot,LAC,LAL,7,14,203076,0021900002,454,0021900002-454,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,3,4,43
M. Harrell,2,2,True,Dunk Shot,LAC,LAL,-7,27,1626149,0021900002,455,0021900002-455,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,3,4,28
A. Davis,15,2,False,Fadeaway Jump Shot,LAC,LAL,111,114,203076,0021900002,459,0021900002-459,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8-16 ft.,Right Side(R),20191022,3,4,6
D. Green,2,2,True,Reverse Layup Shot,LAC,LAL,6,27,201980,0021900002,461,0021900002-461,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,3,4,2
L. Shamet,27,3,True,Jump Shot,LAC,LAL,-54,270,1629013,0021900002,462,0021900002-462,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Center(C),20191022,3,3,50
A. Davis,26,3,False,Jump Shot,LAC,LAL,-122,231,203076,0021900002,464,0021900002-464,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side Center(LC),20191022,3,3,34
K. Caldwell-Pope,15,2,False,Pullup Jump shot,LAC,LAL,-158,13,203484,0021900002,469,0021900002-469,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8-16 ft.,Left Side(L),20191022,3,3,27
A. Davis,0,2,True,Tip Dunk Shot,LAC,LAL,0,-6,203076,0021900002,471,0021900002-471,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,Less Than 8 ft.,Center(C),20191022,3,3,21
M. Harkless,26,3,False,Jump Shot,LAC,LAL,-154,215,203090,0021900002,472,0021900002-472,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side Center(LC),20191022,3,3,14
D. Green,24,3,True,Jump Shot,LAC,LAL,239,22,201980,0021900002,474,0021900002-474,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Right Side(R),20191022,3,3,4
L. Shamet,25,3,False,Jump Shot,LAC,LAL,109,236,1629013,0021900002,479,0021900002-479,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Right Side Center(RC),20191022,3,2,38
D. Green,25,3,True,Pullup Jump shot,LAC,LAL,-78,240,201980,0021900002,483,0021900002-483,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,24+ ft.,Left Side Center(LC),20191022,3,2,16
K. Leonard,28,3,False,Jump Shot,LAC,LAL,-43,280,202695,0021900002,491,0021900002-491,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Center(C),20191022,3,1,47
A. Davis,2,2,True,Turnaround Jump Shot,LAC,LAL,-24,3,203076,0021900002,493,0021900002-493,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,3,1,31
J. Green,27,3,False,Jump Shot,LAC,LAL,-169,214,203210,0021900002,494,0021900002-494,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side Center(LC),20191022,3,1,12
Q. Cook,1,2,False,Driving Layup Shot,LAC,LAL,-4,17,1626188,0021900002,496,0021900002-496,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,3,0,57
D. Howard,0,2,True,Tip Dunk Shot,LAC,LAL,0,-6,2730,0021900002,498,0021900002-498,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,Less Than 8 ft.,Center(C),20191022,3,0,56
