game_id,home,away,date,home_pts,away_pts,min,home_fgm,home_fga,home_fg_pct,home_fg3m,home_fg3a,home_fg3_pct,home_ftm,home_fta,home_ft_pct,home_oreb,home_dreb,home_reb,home_ast,home_stl,home_blk,home_tov,home_pf,home_plus_minus,away_fgm,away_fga,away_fg_pct,away_fg3m,away_fg3a,away_fg3_pct,away_ftm,away_fta,away_ft_pct,away_oreb,away_dreb,away_reb,away_ast,away_stl,away_blk,away_tov,away_pf,away_plus_minus,bubble,sample,season
21900022,OKC,WAS,2019-10-25,85,97,240,33,83,0.398,5,23,0.217,14,22,0.636,7,42,49,14,7,6,18,18,-12.0,39,97,0.402,11,41,0.268,8,10,0.8,8,39,47,21,9,6,15,21,12.0,False,False,2019-20
21900023,DEN,PHX,2019-10-25,108,107,266,36,92,0.391,7,27,0.259,29,36,0.806,8,37,45,21,7,12,14,26,1.0,34,86,0.395,8,28,0.286,31,32,0.969,10,44,54,25,5,1,17,35,-1.0,False,False,2019-20
21900024,SAC,POR,2019-10-25,112,122,240,37,87,0.425,15,37,0.405,23,27,0.852,13,30,43,17,10,2,17,26,-10.0,46,85,0.541,11,30,0.367,19,22,0.864,5,35,40,23,8,5,16,23,10.0,False,False,2019-20
21900025,LAL,UTA,2019-10-25,95,86,239,34,86,0.395,8,26,0.308,19,24,0.792,11,31,42,19,14,9,14,21,9.0,29,70,0.414,8,25,0.32,20,21,0.952,3,37,40,19,8,2,22,25,-9.0,False,False,2019-20
21900026,MIL,MIA,2019-10-26,126,131,266,41,94,0.436,17,54,0.315,27,35,0.771,5,42,47,22,8,4,18,32,-5.0,46,101,0.455,16,44,0.364,23,36,0.639,8,46,54,33,7,3,16,30,5.0,False,False,2019-20
21900027,DET,PHI,2019-10-26,111,117,239,41,76,0.539,8,19,0.421,21,36,0.583,5,30,35,20,11,7,23,28,-6.0,42,87,0.483,13,34,0.382,20,30,0.667,6,32,38,30,14,3,22,26,6.0,False,False,2019-20
21900028,ATL,ORL,2019-10-26,103,99,240,43,84,0.512,9,30,0.3,8,15,0.533,9,43,52,22,5,9,18,26,4.0,35,99,0.354,5,31,0.161,24,26,0.923,17,29,46,15,8,7,10,15,-4.0,False,False,2019-20
21900029,NYK,BOS,2019-10-26,95,118,242,31,82,0.378,7,27,0.259,26,34,0.765,16,39,55,15,7,4,23,26,-23.0,42,93,0.452,15,41,0.366,19,29,0.655,13,33,46,24,14,9,12,26,23.0,False,False,2019-20
21900030,CLE,IND,2019-10-26,110,99,241,40,80,0.5,11,31,0.355,19,29,0.655,12,32,44,23,9,7,18,20,11.0,39,87,0.448,10,28,0.357,11,13,0.846,6,30,36,23,7,3,17,27,-11.0,False,False,2019-20
21900031,CHI,TOR,2019-10-26,84,108,242,29,97,0.299,9,35,0.257,17,25,0.68,12,33,45,18,9,2,15,22,-24.0,38,82,0.463,15,42,0.357,17,18,0.944,10,49,59,27,9,12,22,25,24.0,False,False,2019-20
21900032,HOU,NOP,2019-10-26,126,123,240,43,94,0.457,13,45,0.289,27,30,0.9,9,36,45,27,7,4,19,22,3.0,46,100,0.46,18,50,0.36,13,16,0.813,9,33,42,27,9,2,17,30,-3.0,False,False,2019-20
21900033,SAS,WAS,2019-10-26,124,122,240,50,108,0.463,10,28,0.357,14,17,0.824,21,32,53,29,6,7,9,19,2.0,47,95,0.495,16,34,0.471,12,17,0.706,8,33,41,30,3,8,12,15,-2.0,False,False,2019-20
21900034,UTA,SAC,2019-10-26,113,81,240,44,78,0.564,18,37,0.486,7,12,0.583,2,41,43,28,6,1,21,22,32.0,30,81,0.37,7,26,0.269,14,17,0.824,6,25,31,16,5,3,17,19,-32.0,False,False,2019-20
21900035,PHX,LAC,2019-10-26,130,122,239,43,86,0.5,17,43,0.395,27,34,0.794,9,40,49,32,9,3,16,34,8.0,40,87,0.46,11,32,0.344,31,39,0.795,10,31,41,20,8,4,12,32,-8.0,False,False,2019-20
21900036,OKC,GSW,2019-10-27,120,92,240,44,78,0.564,15,32,0.469,17,22,0.773,8,42,50,24,8,5,23,26,28.0,30,92,0.326,5,33,0.152,27,31,0.871,12,27,39,17,13,2,14,15,-28.0,False,False,2019-20
21900037,MEM,BKN,2019-10-27,134,133,264,50,103,0.485,14,33,0.424,20,25,0.8,8,41,49,33,9,10,12,29,1.0,44,101,0.436,15,45,0.333,30,37,0.811,11,42,53,28,6,5,17,22,-1.0,False,False,2019-20
21900038,DAL,POR,2019-10-27,119,121,240,37,94,0.394,13,50,0.26,32,41,0.78,12,34,46,27,7,3,11,22,-2.0,45,87,0.517,9,22,0.409,22,26,0.846,7,41,48,13,6,4,16,30,2.0,False,False,2019-20
21900039,MIN,MIA,2019-10-27,116,109,239,39,91,0.429,13,45,0.289,25,33,0.758,14,32,46,24,12,1,16,17,7.0,42,85,0.494,15,36,0.417,10,15,0.667,7,34,41,25,7,9,21,23,-7.0,False,False,2019-20
21900040,LAL,CHA,2019-10-27,120,101,239,49,93,0.527,11,31,0.355,11,14,0.786,10,37,47,30,7,8,13,22,19.0,35,91,0.385,10,35,0.286,21,23,0.913,13,32,45,19,7,4,14,20,-19.0,False,False,2019-20
21900041,DET,IND,2019-10-28,96,94,241,37,81,0.457,13,24,0.542,9,10,0.9,9,39,48,21,2,3,20,18,2.0,39,94,0.415,6,21,0.286,10,13,0.769,13,32,45,24,11,4,7,18,-2.0,False,False,2019-20
21900042,NYK,CHI,2019-10-28,105,98,241,38,91,0.418,9,29,0.31,20,32,0.625,25,38,63,19,3,6,17,19,7.0,36,85,0.424,9,35,0.257,17,21,0.81,8,30,38,19,6,5,9,22,-7.0,False,False,2019-20
21900043,ATL,PHI,2019-10-28,103,105,241,36,84,0.429,9,27,0.333,22,32,0.688,8,37,45,23,12,3,21,25,2.0,37,88,0.42,11,41,0.268,20,25,0.8,12,37,49,22,12,11,21,29,-2.0,False,False,2019-20
21900044,TOR,ORL,2019-10-28,104,95,241,33,85,0.388,10,39,0.256,28,30,0.933,6,46,52,19,9,2,16,20,9.0,34,89,0.382,12,39,0.308,15,18,0.833,8,39,47,22,9,6,16,20,-9.0,False,False,2019-20
21900045,HOU,OKC,2019-10-28,116,112,240,39,90,0.433,10,44,0.227,28,33,0.848,9,31,40,21,6,6,14,24,4.0,41,94,0.436,13,35,0.371,17,24,0.708,16,36,52,22,7,3,13,27,-4.0,False,False,2019-20
21900046,MIL,CLE,2019-10-28,129,112,238,48,92,0.522,17,38,0.447,16,24,0.667,8,42,50,29,9,7,12,15,17.0,45,100,0.45,12,39,0.308,10,12,0.833,10,38,48,19,2,3,11,22,-17.0,False,False,2019-20
21900047,NOP,GSW,2019-10-28,123,134,239,48,103,0.466,15,47,0.319,12,22,0.545,11,30,41,36,13,7,15,20,-11.0,51,104,0.49,14,35,0.4,18,24,0.75,19,42,61,37,8,2,18,22,11.0,False,False,2019-20
21900048,SAS,POR,2019-10-28,113,110,241,41,85,0.482,7,22,0.318,24,32,0.75,7,43,50,25,5,9,18,19,3.0,39,100,0.39,10,33,0.303,22,27,0.815,9,40,49,19,4,8,10,27,-3.0,False,False,2019-20
21900049,PHX,UTA,2019-10-28,95,96,241,33,80,0.413,13,34,0.382,16,23,0.696,3,37,40,23,7,3,16,31,-1.0,27,71,0.38,10,31,0.323,32,39,0.821,6,43,49,19,8,5,23,26,1.0,False,False,2019-20
21900050,SAC,DEN,2019-10-28,94,101,240,36,91,0.396,12,37,0.324,10,16,0.625,15,33,48,25,6,8,12,21,-7.0,36,98,0.367,10,36,0.278,19,21,0.905,19,35,54,19,8,5,10,18,7.0,False,False,2019-20
21900051,LAC,CHA,2019-10-28,111,96,239,40,83,0.482,12,33,0.364,19,21,0.905,9,35,44,23,11,8,21,24,15.0,36,83,0.434,14,39,0.359,10,14,0.714,9,29,38,24,5,3,21,23,-15.0,False,False,2019-20
21900052,MIA,ATL,2019-10-29,112,97,241,33,73,0.452,13,31,0.419,33,45,0.733,13,36,49,19,11,6,26,22,15.0,35,83,0.422,11,39,0.282,16,24,0.667,9,24,33,28,14,7,20,29,-15.0,False,False,2019-20
21900053,DEN,DAL,2019-10-29,106,109,240,43,91,0.473,11,32,0.344,9,13,0.692,14,36,50,24,6,1,10,24,-3.0,41,84,0.488,13,37,0.351,14,24,0.583,10,32,42,29,6,5,8,14,3.0,False,False,2019-20
21900054,LAL,MEM,2019-10-29,120,91,241,40,86,0.465,7,26,0.269,33,39,0.846,10,44,54,25,9,8,18,19,29.0,31,95,0.326,7,34,0.206,22,23,0.957,13,33,46,20,10,3,21,27,-29.0,False,True,2019-20
21900055,CLE,CHI,2019-10-30,117,111,240,41,78,0.526,10,24,0.417,25,31,0.806,10,37,47,25,3,7,17,21,6.0,39,90,0.433,14,39,0.359,19,23,0.826,9,23,32,25,6,5,6,24,-6.0,False,False,2019-20
21900056,ORL,NYK,2019-10-30,95,83,240,37,88,0.42,12,32,0.375,9,12,0.75,14,38,52,24,5,6,7,17,12.0,31,82,0.378,7,31,0.226,14,20,0.7,10,34,44,19,1,10,11,15,-12.0,False,False,2019-20
21900057,PHI,MIN,2019-10-30,117,95,242,43,92,0.467,9,25,0.36,22,28,0.786,16,40,56,24,14,6,22,27,22.0,32,81,0.395,10,35,0.286,21,28,0.75,6,28,34,12,13,6,21,21,-22.0,False,False,2019-20
21900058,BOS,MIL,2019-10-30,116,105,240,41,92,0.446,17,41,0.415,17,21,0.81,5,40,45,25,4,4,9,20,11.0,38,82,0.463,14,45,0.311,15,24,0.625,5,40,45,21,3,4,15,21,-11.0,False,False,2019-20
21900059,BKN,IND,2019-10-30,108,118,239,41,93,0.441,10,31,0.323,16,26,0.615,18,36,54,21,6,5,19,19,-10.0,45,96,0.469,11,26,0.423,17,20,0.85,11,30,41,25,9,2,9,24,10.0,False,False,2019-20
21900060,TOR,DET,2019-10-30,125,113,240,51,86,0.593,13,27,0.481,10,12,0.833,3,31,34,30,12,2,14,22,12.0,41,88,0.466,14,30,0.467,17,23,0.739,11,31,42,30,5,1,20,15,-12.0,False,False,2019-20
21900061,WAS,HOU,2019-10-30,158,159,241,57,91,0.626,20,36,0.556,24,29,0.828,11,29,40,31,6,4,19,27,-1.0,55,103,0.534,23,54,0.426,26,33,0.788,19,25,44,34,10,5,13,24,1.0,False,False,2019-20
21900062,OKC,POR,2019-10-30,99,102,240,33,84,0.393,4,27,0.148,29,37,0.784,13,42,55,15,8,2,18,21,-3.0,34,86,0.395,17,35,0.486,17,24,0.708,9,40,49,19,9,8,17,30,3.0,False,False,2019-20
21900063,UTA,LAC,2019-10-30,110,96,240,44,80,0.55,11,24,0.458,11,16,0.688,3,33,36,23,12,5,14,18,14.0,39,82,0.476,8,23,0.348,10,12,0.833,6,30,36,19,3,4,19,22,-14.0,False,True,2019-20
21900064,SAC,CHA,2019-10-30,111,118,240,44,96,0.458,14,46,0.304,9,12,0.75,10,29,39,26,11,5,15,19,-7.0,46,84,0.548,16,32,0.5,10,14,0.714,10,36,46,30,8,3,20,17,7.0,False,False,2019-20
21900065,GSW,PHX,2019-10-30,110,121,239,36,82,0.439,8,28,0.286,30,36,0.833,7,36,43,24,8,6,18,22,-11.0,44,96,0.458,15,36,0.417,18,21,0.857,13,32,45,33,12,4,16,22,11.0,False,False,2019-20
21900066,ATL,MIA,2019-10-31,97,106,239,36,88,0.409,7,34,0.206,18,26,0.692,16,34,50,20,5,5,16,15,-9.0,40,84,0.476,14,37,0.378,12,19,0.632,9,32,41,29,12,9,13,18,9.0,False,False,2019-20
21900067,NOP,DEN,2019-10-31,122,107,239,41,77,0.532,15,33,0.455,25,32,0.781,2,35,37,30,7,4,15,21,15.0,43,89,0.483,7,26,0.269,14,16,0.875,5,30,35,24,5,3,14,24,-15.0,False,False,2019-20
21900068,LAC,SAS,2019-10-31,103,97,240,39,91,0.429,5,26,0.192,20,27,0.741,11,36,47,16,9,1,11,23,6.0,36,80,0.45,7,21,0.333,18,27,0.667,9,40,49,15,6,5,19,28,-6.0,False,False,2019-20
21900069,BKN,HOU,2019-11-01,123,116,241,42,85,0.494,19,32,0.594,20,28,0.714,10,45,55,26,8,7,20,21,7.0,41,99,0.414,12,48,0.25,22,27,0.815,9,31,40,21,13,4,12,21,-7.0,False,False,2019-20
21900070,IND,CLE,2019-11-01,102,95,239,39,96,0.406,5,27,0.185,19,21,0.905,13,45,58,20,8,10,13,24,7.0,32,87,0.368,11,32,0.344,20,25,0.8,3,42,45,20,9,1,16,21,-7.0,False,False,2019-20
21900071,ORL,MIL,2019-11-01,91,123,242,34,91,0.374,12,37,0.324,11,17,0.647,10,30,40,21,8,3,16,16,-32.0,47,93,0.505,17,47,0.362,12,18,0.667,11,47,58,24,11,4,13,19,32.0,False,False,2019-20
21900072,BOS,NYK,2019-11-01,104,102,241,33,74,0.446,11,34,0.324,27,29,0.931,3,41,44,21,7,4,14,16,2.0,37,93,0.398,14,38,0.368,14,21,0.667,16,35,51,22,9,4,13,23,-2.0,False,False,2019-20
21900073,CHI,DET,2019-11-01,112,106,241,39,89,0.438,16,40,0.4,18,23,0.783,11,31,42,29,6,1,17,18,6.0,41,85,0.482,6,29,0.207,18,24,0.75,10,37,47,21,11,8,16,21,-6.0,False,False,2019-20
21900074,DAL,LAL,2019-11-01,110,119,267,40,102,0.392,14,36,0.389,16,23,0.696,18,43,61,23,5,1,22,21,-9.0,47,96,0.49,9,32,0.281,16,21,0.762,6,35,41,24,11,7,11,21,9.0,False,False,2019-20
21900075,SAC,UTA,2019-11-01,102,101,241,41,84,0.488,8,29,0.276,12,17,0.706,11,27,38,15,8,3,16,23,1.0,35,73,0.479,11,28,0.393,20,27,0.741,6,30,36,18,12,5,17,18,-1.0,False,False,2019-20
21900076,GSW,SAS,2019-11-01,110,127,240,39,84,0.464,13,28,0.464,19,21,0.905,7,32,39,25,4,2,11,22,-17.0,44,93,0.473,13,35,0.371,26,30,0.867,16,36,52,23,4,2,11,19,17.0,False,False,2019-20
21900077,OKC,NOP,2019-11-02,115,104,241,41,90,0.456,15,37,0.405,18,23,0.783,8,36,44,20,8,11,12,20,11.0,40,94,0.426,11,32,0.344,13,22,0.591,17,39,56,25,7,5,16,25,-11.0,False,False,2019-20
21900078,DET,BKN,2019-11-02,113,109,240,41,91,0.451,8,27,0.296,23,29,0.793,5,36,41,21,8,7,8,18,4.0,43,93,0.462,10,32,0.313,13,17,0.765,10,38,48,24,4,4,14,24,-4.0,False,False,2019-20
21900079,ORL,DEN,2019-11-02,87,91,238,37,86,0.43,6,29,0.207,7,11,0.636,10,37,47,22,8,7,15,25,-4.0,27,73,0.37,9,28,0.321,28,39,0.718,7,34,41,15,8,3,13,14,4.0,False,False,2019-20
21900080,WAS,MIN,2019-11-02,109,131,239,37,95,0.389,12,35,0.343,23,27,0.852,8,31,39,21,11,4,17,18,-22.0,51,94,0.543,17,39,0.436,12,17,0.706,3,44,47,33,9,10,21,23,22.0,False,False,2019-20
21900081,MEM,PHX,2019-11-02,105,114,239,42,86,0.488,9,28,0.321,12,19,0.632,13,33,46,26,9,8,20,23,-9.0,44,88,0.5,14,34,0.412,12,16,0.75,4,28,32,26,9,2,17,20,9.0,False,False,2019-20
21900082,MIL,TOR,2019-11-02,115,105,239,41,89,0.461,13,38,0.342,20,25,0.8,10,41,51,30,4,7,11,22,10.0,34,84,0.405,15,36,0.417,22,25,0.88,7,35,42,24,5,6,13,22,-10.0,False,False,2019-20
21900083,GSW,CHA,2019-11-02,87,93,240,34,77,0.442,9,28,0.321,10,13,0.769,5,35,40,23,5,5,18,22,-6.0,36,85,0.424,5,29,0.172,16,23,0.696,16,32,48,18,6,1,12,15,6.0,False,False,2019-20
21900084,POR,PHI,2019-11-02,128,129,240,45,78,0.577,19,34,0.559,19,25,0.76,4,32,36,21,7,4,18,21,-1.0,54,107,0.505,11,33,0.333,10,12,0.833,13,33,46,36,11,8,11,23,1.0,False,False,2019-20
21900085,IND,CHI,2019-11-03,108,95,241,40,85,0.471,8,26,0.308,20,27,0.741,10,39,49,28,6,10,16,24,13.0,36,84,0.429,9,29,0.31,14,25,0.56,6,36,42,27,8,2,18,21,-13.0,False,False,2019-20
21900086,MIA,HOU,2019-11-03,129,100,239,47,89,0.528,18,41,0.439,17,22,0.773,5,41,46,38,14,7,15,21,29.0,31,79,0.392,14,48,0.292,24,31,0.774,4,34,38,19,6,5,22,24,-29.0,False,False,2019-20
21900087,NYK,SAC,2019-11-03,92,113,241,32,80,0.4,8,31,0.258,20,31,0.645,9,29,38,18,6,5,13,23,-21.0,41,85,0.482,15,39,0.385,16,25,0.64,10,40,50,25,7,5,14,29,21.0,False,False,2019-20
21900088,SAS,LAL,2019-11-03,96,103,239,33,83,0.398,6,25,0.24,24,29,0.828,8,39,47,23,11,4,17,18,-7.0,42,87,0.483,6,24,0.25,13,19,0.684,7,39,46,21,8,10,18,22,7.0,False,False,2019-20
21900089,CLE,DAL,2019-11-03,111,131,240,39,96,0.406,18,48,0.375,15,22,0.682,12,29,41,24,9,4,9,14,-20.0,50,94,0.532,20,41,0.488,11,13,0.846,11,40,51,34,5,6,13,21,20.0,False,False,2019-20
21900090,LAC,UTA,2019-11-03,105,94,240,36,92,0.391,7,32,0.219,26,34,0.765,18,36,54,15,7,6,9,25,11.0,31,78,0.397,10,31,0.323,22,31,0.71,6,31,37,16,4,6,14,30,-11.0,False,False,2019-20
21900091,WAS,DET,2019-11-04,115,99,240,43,93,0.462,8,29,0.276,21,25,0.84,13,28,41,27,9,7,11,23,16.0,34,82,0.415,13,27,0.481,18,23,0.783,13,29,42,21,4,9,19,20,-16.0,False,False,2019-20
21900092,BKN,NOP,2019-11-04,135,125,239,49,92,0.533,16,41,0.39,21,28,0.75,12,33,45,32,13,3,23,18,10.0,48,97,0.495,13,32,0.406,16,21,0.762,10,29,39,18,16,5,21,26,-10.0,False,False,2019-20
21900093,MEM,HOU,2019-11-04,100,107,239,40,94,0.426,3,25,0.12,17,21,0.81,13,38,51,19,13,7,14,21,-7.0,35,93,0.376,17,50,0.34,20,29,0.69,14,37,51,20,6,5,18,21,7.0,False,False,2019-20
21900094,MIN,MIL,2019-11-04,106,134,242,37,103,0.359,13,43,0.302,19,22,0.864,13,34,47,20,12,4,15,23,-28.0,50,93,0.538,14,39,0.359,20,30,0.667,11,46,57,24,8,6,17,20,28.0,False,False,2019-20
21900095,PHX,PHI,2019-11-04,114,109,240,41,77,0.532,11,28,0.393,21,27,0.778,5,35,40,24,6,5,19,24,5.0,42,89,0.472,13,29,0.448,12,20,0.6,9,29,38,21,11,2,20,29,-5.0,False,False,2019-20
21900096,GSW,POR,2019-11-04,127,118,239,42,86,0.488,10,26,0.385,33,36,0.917,8,39,47,28,4,4,10,17,9.0,47,105,0.448,13,40,0.325,11,14,0.786,16,28,44,16,5,6,6,23,-9.0,False,False,2019-20
21900097,CHA,IND,2019-11-05,122,120,264,42,88,0.477,10,31,0.323,28,42,0.667,10,27,37,22,7,4,13,17,2.0,51,94,0.543,12,30,0.4,6,7,0.857,7,36,43,27,5,7,18,34,-2.0,False,False,2019-20
21900098,CLE,BOS,2019-11-05,113,119,242,40,95,0.421,13,33,0.394,20,22,0.909,11,32,43,22,3,6,9,18,-6.0,48,85,0.565,12,30,0.4,11,15,0.733,4,41,45,24,5,12,14,23,6.0,False,False,2019-20
21900099,ATL,SAS,2019-11-05,108,100,239,43,90,0.478,11,30,0.367,11,16,0.688,9,39,48,22,9,5,18,20,8.0,38,91,0.418,8,33,0.242,16,23,0.696,11,30,41,18,9,8,15,17,-8.0,False,False,2019-20
21900100,CHI,LAL,2019-11-05,112,118,240,43,85,0.506,14,32,0.438,12,23,0.522,7,35,42,22,11,4,16,21,-6.0,45,92,0.489,11,33,0.333,17,24,0.708,12,37,49,26,10,10,15,18,6.0,False,False,2019-20
21900101,OKC,ORL,2019-11-05,102,94,240,37,86,0.43,12,33,0.364,16,20,0.8,7,31,38,21,9,5,9,23,8.0,32,82,0.39,3,22,0.136,27,31,0.871,16,37,53,15,5,8,14,24,-8.0,False,False,2019-20
21900102,DEN,MIA,2019-11-05,109,89,239,45,86,0.523,9,23,0.391,10,16,0.625,9,38,47,35,10,3,19,21,20.0,32,88,0.364,9,29,0.31,16,25,0.64,13,31,44,23,12,5,13,21,-20.0,False,False,2019-20
21900103,DET,NYK,2019-11-06,122,102,242,44,79,0.557,15,30,0.5,19,24,0.792,8,35,43,37,7,1,16,17,20.0,39,80,0.488,11,25,0.44,13,21,0.619,5,25,30,24,9,4,13,20,-20.0,False,False,2019-20
21900104,IND,WAS,2019-11-06,121,106,240,44,94,0.468,12,30,0.4,21,26,0.808,13,35,48,35,8,3,13,25,15.0,37,95,0.389,13,40,0.325,19,19,1.0,16,32,48,24,3,3,16,26,-15.0,False,False,2019-20
21900105,ATL,CHI,2019-11-06,93,113,240,30,74,0.405,6,30,0.2,27,35,0.771,6,35,41,18,7,3,24,26,-20.0,41,82,0.5,13,33,0.394,18,27,0.667,7,36,43,26,11,9,17,30,20.0,False,False,2019-20
21900106,TOR,SAC,2019-11-06,124,120,239,43,78,0.551,14,29,0.483,24,29,0.828,2,35,37,28,10,4,14,20,4.0,42,95,0.442,20,44,0.455,16,21,0.762,12,31,43,23,8,7,14,23,-4.0,False,False,2019-20
21900107,HOU,GSW,2019-11-06,129,112,240,48,97,0.495,21,45,0.467,12,19,0.632,11,39,50,31,7,9,12,20,17.0,38,96,0.396,13,33,0.394,23,28,0.821,16,35,51,22,7,1,10,12,-17.0,False,False,2019-20
21900108,MEM,MIN,2019-11-06,137,121,240,50,88,0.568,12,23,0.522,25,30,0.833,8,41,49,34,4,3,17,22,16.0,43,96,0.448,16,45,0.356,19,26,0.731,10,26,36,29,9,7,11,22,-16.0,False,False,2019-20
21900109,DAL,ORL,2019-11-06,107,106,239,36,84,0.429,11,31,0.355,24,30,0.8,12,31,43,20,4,1,17,23,1.0,39,80,0.488,6,24,0.25,22,28,0.786,10,34,44,25,14,10,18,30,-1.0,False,False,2019-20
