id,full_name,first_name,last_name,is_active
2042,Courtney Alexander,Courtney,Alexander,False
76022,Gary Alexander,Gary,Alexander,False
201570,Joe Alexander,Joe,Alexander,False
1629734,Kyle Alexander,Kyle,Alexander,False
1630234,Ty-Shon Alexander,Ty-Shon,Alexander,False
2349,Victor Alexander,Victor,Alexander,False
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True
76024,Steve Alford,Steve,Alford,False
1628959,Rawle Alkins,Rawle,Alkins,False
76028,Bob Allen,Bob,Allen,False
1628960,Grayson Allen,Grayson,Allen,True
1628386,Jarrett Allen,Jarrett,Allen,True
706,Jerome Allen,Jerome,Allen,False
1628443,Kadeem Allen,Kadeem,Allen,False
202730,Lavoy Allen,Lavoy,Allen,False
76027,Lucius Allen,Lucius,Allen,False
2124,Malik Allen,Malik,Allen,False
76025,Randy Allen,Randy,Allen,False
951,Ray Allen,Ray,Allen,False
2754,Tony Allen,Tony,Allen,False
76029,Odis Allison,Odis,Allison,False
200984,Lance Allred,Lance,Allred,False
76030,Darrell Allums,Darrell,Allums,False
201165,Morris Almond,Morris,Almond,False
308,Derrick Alston,Derrick,Alston,False
1747,Rafer Alston,Rafer,Alston,False
1630247,Derrick Alston Jr.,Derrick,Alston Jr.,True
1824,Peter Aluma,Peter,Aluma,False
1630631,Jose Alvarado,Jose,Alvarado,True
680,John Amaechi,John,Amaechi,False
732,Ashraf Amaya,Ashraf,Amaya,False
202329,Al-Farouq Aminu,Al-Farouq,Aminu,True
200811,Lou Amundson,Lou,Amundson,False
76034,Bob Anderegg,Bob,Anderegg,False
2365,Chris Andersen,Chris,Andersen,False
2431,David Andersen,David,Andersen,False
101187,Alan Anderson,Alan,Anderson,False
202079,Antonio Anderson,Antonio,Anderson,False
76035,Cliff Anderson,Cliff,Anderson,False
76036,Daniel Anderson,Daniel,Anderson,False
1507,Derek Anderson,Derek,Anderson,False
76037,Dwight Anderson,Dwight,Anderson,False
944,Eric Anderson,Eric,Anderson,False
246,Greg Anderson,Greg,Anderson,False
202341,James Anderson,James,Anderson,False
76040,Jerome Anderson,Jerome,Anderson,False
1626147,Justin Anderson,Justin,Anderson,False
72,Kenny Anderson,Kenny,Anderson,False
76041,Kim Anderson,Kim,Anderson,False
203937,Kyle Anderson,Kyle,Anderson,True
76042,Michael Anderson,Michael,Anderson,False
76043,Mitchell Anderson,Mitchell,Anderson,False
98,Nick Anderson,Nick,Anderson,False
76045,Richard Anderson,Richard,Anderson,False
76046,Ron Anderson,Ron,Anderson,False
201583,Ryan Anderson,Ryan,Anderson,False
1000,Shandon Anderson,Shandon,Anderson,False
335,Willie Anderson,Willie,Anderson,False
76048,Wally Anderzunas,Wally,Anderzunas,False
101149,Martynas Andriuskevicius,Martynas,Andriuskevicius,False
76049,Don Anielak,Don,Anielak,False
1628387,Ike Anigbogu,Ike,Anigbogu,False
76050,Michael Ansley,Michael,Ansley,False
1512,Chris Anstey,Chris,Anstey,False
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True
1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo,False
203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,True
2546,Carmelo Anthony,Carmelo,Anthony,True
1630175,Cole Anthony,Cole,Anthony,True
21,Greg Anthony,Greg,Anthony,False
201202,Joel Anthony,Joel,Anthony,False
203544,Pero Antic,Pero,Antic,False
1628384,OG Anunoby,OG,Anunoby,True
203951,Keith Appling,Keith,Appling,False
2737,Rafael Araujo,Rafael,Araujo,False
76053,Stacey Arceneaux,Stacey,Arceneaux,False
76054,Nate Archibald,Nate,Archibald,False
2425,Robert Archibald,Robert,Archibald,False
1627853,Ryan Arcidiacono,Ryan,Arcidiacono,True
76055,Jim Ard,Jim,Ard,False
2240,Gilbert Arenas,Gilbert,Arenas,False
2772,Trevor Ariza,Trevor,Ariza,True
76056,Paul Arizin,Paul,Arizin,False
76057,Joe Arlauckas,Joe,Arlauckas,False
769,B.J. Armstrong,B.J.,Armstrong,False
76061,Bob Armstrong,Bob,Armstrong,False
2220,Brandon Armstrong,Brandon,Armstrong,False
353,Darrell Armstrong,Darrell,Armstrong,False
200756,Hilton Armstrong,Hilton,Armstrong,False
76060,Paul Armstrong,Paul,Armstrong,False
76059,Tate Armstrong,Tate,Armstrong,False
76062,Jesse Arnelle,Jesse,Arnelle,False
76063,Jay Arnette,Jay,Arnette,False
76064,Bob Arnzen,Bob,Arnzen,False
2306,Carlos Arroyo,Carlos,Arroyo,False
201589,Darrell Arthur,Darrell,Arthur,False
76065,John Arthurs,John,Arthurs,False
1628503,Jamel Artis,Jamel,Artis,False
201600,Omer Asik,Omer,Asik,False
355,Vincent Askew,Vincent,Askew,False
173,Keith Askins,Keith,Askins,False
76068,Don Asmonga,Don,Asmonga,False
76069,Richard Atha,Richard,Atha,False
1088,Chucky Atkins,Chucky,Atkins,False
76070,Alvin Attles,Alvin,Attles,False
76071,Chet Aubuchon,Chet,Aubuchon,False
278,Stacey Augmon,Stacey,Augmon,False
201571,D.J. Augustin,D.J.,Augustin,True
200788,James Augustine,James,Augustine,False
1134,Ike Austin,Ike,Austin,False
76073,John Austin,John,Austin,False
76074,Ken Austin,Ken,Austin,False
1630166,Deni Avdija,Deni,Avdija,True
138,Anthony Avent,Anthony,Avent,False
76076,William Averitt,William,Averitt,False
1895,William Avery,William,Avery,False
76078,Dennis Awtrey,Dennis,Awtrey,False
1630555,Joel Ayayi,Joel,Ayayi,True
202970,Gustavo Ayon,Gustavo,Ayon,False
201965,Jeff Ayres,Jeff,Ayres,False
1629028,Deandre Ayton,Deandre,Ayton,True
101235,Kelenna Azubuike,Kelenna,Azubuike,False
1628962,Udoka Azubuike,Udoka,Azubuike,True
203569,Chris Babb,Chris,Babb,False
202337,Luke Babbitt,Luke,Babbitt,False
76079,Milos Babic,Milos,Babic,False
76080,Johnny Bach,Johnny,Bach,False
1628407,Dwayne Bacon,Dwayne,Bacon,True
76081,Jim Baechtold,Jim,Baechtold,False
2053,Dalibor Bagaric,Dalibor,Bagaric,False
76082,John Bagley,John,Bagley,False
1628963,Marvin Bagley III,Marvin,Bagley III,True
76084,Carl Bailey,Carl,Bailey,False
76083,Gus Bailey,Gus,Bailey,False
76085,James Bailey,James,Bailey,False
1847,Thurl Bailey,Thurl,Bailey,False
1753,Toby Bailey,Toby,Bailey,False
203946,Cameron Bairstow,Cameron,Bairstow,False
1858,Mark Baker,Mark,Baker,False
2486,Maurice Baker,Maurice,Baker,False
76089,Norm Baker,Norm,Baker,False
1627758,Ron Baker,Ron,Baker,False
452,Vin Baker,Vin,Baker,False
1627735,Wade Baldwin IV,Wade,Baldwin IV,False
200764,Renaldo Balkman,Renaldo,Balkman,False
76090,Cedric Ball,Cedric,Ball,False
1630163,LaMelo Ball,LaMelo,Ball,True
1628366,Lonzo Ball,Lonzo,Ball,True
76091,Greg Ballard,Greg,Ballard,False
1630642,Mitch Ballock,Mitch,Ballock,True
76092,Herschel Baltimore,Herschel,Baltimore,False
1628964,Mo Bamba,Mo,Bamba,True
1630217,Desmond Bane,Desmond,Bane,True
76093,Gene Banks,Gene,Banks,False
2556,Marcus Banks,Marcus,Banks,False
76094,Ken Bannister,Ken,Bannister,False
76095,Mike Bantom,Mike,Bantom,False
1630625,Dalano Banton,Dalano,Banton,True
76096,John Barber,John,Barber,False
2571,Leandro Barbosa,Leandro,Barbosa,False
76097,Stephen Bardo,Stephen,Bardo,False
200826,J.J. Barea,J.J.,Barea,False
200745,Andrea Bargnani,Andrea,Bargnani,False
76098,Cliff Barker,Cliff,Barker,False
76099,Tom Barker,Tom,Barker,False
787,Charles Barkley,Charles,Barkley,False
2057,Erick Barkley,Erick,Barkley,False
76102,Don Barksdale,Don,Barksdale,False
203084,Harrison Barnes,Harrison,Barnes,True
76103,Harry Barnes,Harry,Barnes,False
76105,Jim Barnes,Jim,Barnes,False
76104,Marvin Barnes,Marvin,Barnes,False
2440,Matt Barnes,Matt,Barnes,False
1630567,Scottie Barnes,Scottie,Barnes,True
76107,Dick Barnett,Dick,Barnett,False
76106,Jim Barnett,Jim,Barnett,False
76108,John Barnhill,John,Barnhill,False
76109,Norton Barnhill,Norton,Barnhill,False
76110,Leo Barnhorst,Leo,Barnhorst,False
76111,John Barr,John,Barr,False
76112,Mike Barr,Mike,Barr,False
76113,Thomas Barr,Thomas,Barr,False
2857,Andre Barrett,Andre,Barrett,False
76114,Ernie Barrett,Ernie,Barrett,False
1629628,RJ Barrett,RJ,Barrett,True
2853,Earl Barron,Earl,Barron,False
344,Dana Barros,Dana,Barros,False
699,Brent Barry,Brent,Barry,False
1003,Drew Barry,Drew,Barry,False
468,Jon Barry,Jon,Barry,False
600013,Rick Barry,Rick,Barry,False
76117,Ed Bartels,Ed,Bartels,False
76118,Vic Bartolome,Vic,Bartolome,False
203115,Will Barton,Will,Barton,True
101188,Eddie Basden,Eddie,Basden,False
76119,Jerry Baskerville,Jerry,Baskerville,False
101138,Brandon Bass,Brandon,Bass,False
76120,Tim Bassett,Tim,Bassett,False
1629646,Charles Bassey,Charles,Bassey,True
1766,Maceo Baston,Maceo,Baston,False
2370,Mengke Bateer,Mengke,Bateer,False
76121,Billyray Bates,Billyray,Bates,False
1628966,Keita Bates-Diop,Keita,Bates-Diop,True
101212,Esteban Batista,Esteban,Batista,False
2471,Mike Batiste,Mike,Batiste,False
1499,Tony Battie,Tony,Battie,False
2203,Shane Battier,Shane,Battier,False
174,John Battle,John,Battle,False
76123,Kenny Battle,Kenny,Battle,False
76124,Dave Batton,Dave,Batton,False
201587,Nicolas Batum,Nicolas,Batum,True
76125,Johnny Baum,Johnny,Baum,False
76126,Frankie Baumholtz,Frankie,Baumholtz,False
2437,Lonny Baxter,Lonny,Baxter,False
201573,Jerryd Bayless,Jerryd,Bayless,False
76127,Elgin Baylor,Elgin,Baylor,False
203382,Aron Baynes,Aron,Baynes,False
76128,Sergei Bazarevich,Sergei,Bazarevich,False
203145,Kent Bazemore,Kent,Bazemore,True
1629647,Darius Bazley,Darius,Bazley,True
76129,Ed Beach,Ed,Beach,False
203078,Bradley Beal,Bradley,Beal,True
76130,Butch Beard,Butch,Beard,False
76131,Ralph Beard,Ralph,Beard,False
2602,Jerome Beasley,Jerome,Beasley,False
1627736,Malik Beasley,Malik,Beasley,True
201563,Michael Beasley,Michael,Beasley,False
76133,Zelmo Beaty,Zelmo,Beaty,False
201958,Rodrigue Beaubois,Rodrigue,Beaubois,False
76134,Byron Beck,Byron,Beck,False
1133,Corey Beck,Corey,Beck,False
76136,Ernie Beck,Ernie,Beck,False
76137,Moe Becker,Moe,Becker,False
76138,William Bedford,William,Bedford,False
76139,Hank Beenders,Hank,Beenders,False
76140,Ron Behagen,Ron,Behagen,False
76141,Elmer Behnke,Elmer,Behnke,False
201158,Marco Belinelli,Marco,Belinelli,False
2294,Charlie Bell,Charlie,Bell,False
76142,Dennis Bell,Dennis,Bell,False
1628395,Jordan Bell,Jordan,Bell,True
1952,Raja Bell,Raja,Bell,False
2559,Troy Bell,Troy,Bell,False
76143,William Bell,William,Bell,False
76144,Walt Bellamy,Walt,Bellamy,False
1627761,DeAndre' Bembry,DeAndre',Bembry,True
76145,Irv Bemoras,Irv,Bemoras,False
76146,Leon Benbow,Leon,Benbow,False
1627733,Dragan Bender,Dragan,Bender,False
1886,Jonathan Bender,Jonathan,Bender,False
203968,Jerrelle Benimon,Jerrelle,Benimon,False
104,Benoit Benjamin,Benoit,Benjamin,False
1736,Corey Benjamin,Corey,Benjamin,False
203461,Anthony Bennett,Anthony,Bennett,False
1120,Elmer Bennett,Elmer,Bennett,False
712,Mario Bennett,Mario,Bennett,False
76151,Mel Bennett,Mel,Bennett,False
76148,Tony Bennett,Tony,Bennett,False
76152,Winston Bennett,Winston,Bennett,False
128,David Benoit,David,Benoit,False
202728,Keith Benson,Keith,Benson,False
76154,Kent Benson,Kent,Benson,False
1627791,Ben Bentil,Ben,Bentil,False
76155,Gene Berce,Gene,Berce,False
76156,Gary Bergen,Gary,Bergen,False
76157,Ricky Berry,Ricky,Berry,False
76158,Walter Berry,Walter,Berry,False
1629541,Dairis Bertans,Dairis,Bertans,False
202722,Davis Bertans,Davis,Bertans,True
76159,Del Beshore,Del,Beshore,False
696,Travis Best,Travis,Best,False
201976,Patrick Beverley,Patrick,Beverley,True
1630180,Saddiq Bey,Saddiq,Bey,True
1630189,Tyler Bey,Tyler,Bey,True
204021,Sim Bhullar,Sim,Bhullar,False
76160,Al Bianchi,Al,Bianchi,False
76161,Hank Biasatti,Hank,Biasatti,False
76162,Henry Bibby,Henry,Bibby,False
1710,Mike Bibby,Mike,Bibby,False
76163,Ed Biedenbach,Ed,Biedenbach,False
2740,Andris Biedrins,Andris,Biedrins,False
76164,Don Bielke,Don,Bielke,False
76165,Bob Bigelow,Bob,Bigelow,False
1497,Chauncey Billups,Chauncey,Billups,False
76166,Dave Bing,Dave,Bing,False
76167,Joe Binion,Joe,Binion,False
203920,Khem Birch,Khem,Birch,True
1628444,Jabari Bird,Jabari,Bird,False
76168,Jerry Bird,Jerry,Bird,False
1449,Larry Bird,Larry,Bird,False
76170,Otis Birdsong,Otis,Birdsong,False
76171,Gale Bishop,Gale,Bishop,False
1629048,Goga Bitadze,Goga,Bitadze,True
202687,Bismack Biyombo,Bismack,Biyombo,False
202357,Nemanja Bjelica,Nemanja,Bjelica,True
76172,Uwe Blab,Uwe,Blab,False
76173,Charlie Black,Charlie,Black,False
76174,Norman Black,Norman,Black,False
204028,Tarik Black,Tarik,Black,True
76175,Tom Black,Tom,Black,False
76176,Rolando Blackman,Rolando,Blackman,False
76180,Alex Blackwell,Alex,Blackwell,False
76177,Cory Blackwell,Cory,Blackwell,False
1806,James Blackwell,James,Blackwell,False
76179,Nate Blackwell,Nate,Blackwell,False
201971,DeJuan Blair,DeJuan,Blair,False
2581,Steve Blake,Steve,Blake,False
202392,Marqus Blakely,Marqus,Blakely,False
1628469,Antonio Blakeney,Antonio,Blakeney,False
200807,Will Blalock,Will,Blalock,False
76182,George Blaney,George,Blaney,False
76183,Lance Blanks,Lance,Blanks,False
76184,Ricky Blanton,Ricky,Blanton,False
101154,Andray Blatche,Andray,Blatche,False
302,Mookie Blaylock,Mookie,Blaylock,False
202339,Eric Bledsoe,Eric,Bledsoe,True
1629833,Keljin Blevins,Keljin,Blevins,True
76186,Leon Blevins,Leon,Blevins,False
76187,John Block,John,Block,False
76188,Mike Bloom,Mike,Bloom,False
1628417,Jaron Blossomgame,Jaron,Blossomgame,False
916,Corie Blount,Corie,Blount,False
1548,Mark Blount,Mark,Blount,False
203505,Vander Blue,Vander,Blue,False
1629129,Trevon Bluiett,Trevon,Bluiett,False
76189,Ray Blume,Ray,Blume,False
76190,Nelson Bobb,Nelson,Bobb,False
2800,Tony Bobbitt,Tony,Bobbitt,False
76191,Arlen Bockhorn,Arlen,Bockhorn,False
76192,Tom Boerwinkle,Tom,Boerwinkle,False
2586,Keith Bogans,Keith,Bogans,False
203992,Bogdan Bogdanovic,Bogdan,Bogdanovic,True
202711,Bojan Bogdanovic,Bojan,Bogdanovic,True
177,Muggsy Bogues,Muggsy,Bogues,False
101106,Andrew Bogut,Andrew,Bogut,False
1564,Etdrick Bohannon,Etdrick,Bohannon,False
1629626,Bol Bol,Bol,Bol,True
76195,Manute Bol,Manute,Bol,False
1628413,Jonah Bolden,Jonah,Bolden,False
1629716,Marques Bolden,Marques,Bolden,True
76196,Bill Bolger,Bill,Bolger,False
1630195,Leandro Bolmaro,Leandro,Bolmaro,True
1627762,Joel Bolomboy,Joel,Bolomboy,False
76197,Doug Bolstorff,Doug,Bolstorff,False
76203,George H. Bon Salle,George H.,Bon Salle,False
76198,Phil Bond,Phil,Bond,False
1603,Walter Bond,Walter,Bond,False
1629648,Jordan Bone,Jordan,Bone,False
1121,Dexter Boney,Dexter,Boney,False
1629067,Isaac Bonga,Isaac,Bonga,True
76201,Ron Bonham,Ron,Bonham,False
41,Anthony Bonner,Anthony,Bonner,False
2588,Matt Bonner,Matt,Bonner,False
1626164,Devin Booker,Devin,Booker,True
511,Melvin Booker,Melvin,Booker,False
202344,Trevor Booker,Trevor,Booker,False
200767,Josh Boone,Josh,Boone,False
76204,Ron Boone,Ron,Boone,False
1916,Calvin Booth,Calvin,Booth,False
1522,Keith Booth,Keith,Booth,False
76206,Bob Boozer,Bob,Boozer,False
2430,Carlos Boozer,Carlos,Boozer,False
2414,Curtis Borchardt,Curtis,Borchardt,False
76207,Jake Bornheimer,Jake,Bornheimer,False
1953,Lazaro Borrell,Lazaro,Borrell,False
76209,Costic Borsavage,Costic,Borsavage,False
76210,Vince Boryla,Vince,Boryla,False
2547,Chris Bosh,Chris,Bosh,False
76211,Jim Bostic,Jim,Bostic,False
76212,Lawrence Boston,Lawrence,Boston,False
1630527,Brandon Boston Jr.,Brandon,Boston Jr.,True
76213,Tom Boswell,Tom,Boswell,False
1628449,Chris Boucher,Chris,Boucher,True
1630547,James Bouknight,James,Bouknight,True
2257,Ruben Boumtje-Boumtje,Ruben,Boumtje-Boumtje,False
76214,Don Boven,Don,Boven,False
1898,Cal Bowdler,Cal,Bowdler,False
1477,Bruce Bowen,Bruce,Bowen,False
1763,Ryan Bowen,Ryan,Bowen,False
1628968,Brian Bowen II,Brian,Bowen II,True
194,Anthony Bowie,Anthony,Bowie,False
76217,Sam Bowie,Sam,Bowie,False
1085,Ira Bowman,Ira,Bowman,False
1629065,Ky Bowman,Ky,Bowman,False
76219,Nate Bowman,Nate,Bowman,False
671,Donnie Boyce,Donnie,Boyce,False
76221,Dennis Boyd,Dennis,Boyd,False
76222,Fred Boyd,Fred,Boyd,False
76223,Ken Boyd,Ken,Boyd,False
1863,Earl Boykins,Earl,Boykins,False
76224,Harry Boykoff,Harry,Boykoff,False
76225,Winford Boynes,Winford,Boynes,False
200841,Cedric Bozeman,Cedric,Bozeman,False
76226,Steve Bracey,Steve,Bracey,False
202342,Craig Brackins,Craig,Brackins,False
76227,Gary Bradds,Gary,Bradds,False
76228,Alex Bradley,Alex,Bradley,False
76229,Alonzo Bradley,Alonzo,Bradley,False
202340,Avery Bradley,Avery,Bradley,True
76233,Bill Bradley,Bill,Bradley,False
76230,Charles Bradley,Charles,Bradley,False
76231,Dudley Bradley,Dudley,Bradley,False
76232,Joe Bradley,Joe,Bradley,False
2214,Michael Bradley,Michael,Bradley,False
762,Shawn Bradley,Shawn,Bradley,False
1628396,Tony Bradley,Tony,Bradley,True
1361,Mark Bradtke,Mark,Bradtke,False
66,Marques Bragg,Marques,Bragg,False
1765,Torraye Braggs,Torraye,Braggs,False
1920,A.J. Bramlett,A.J.,Bramlett,False
76237,Adrian Branch,Adrian,Branch,False
1882,Elton Brand,Elton,Brand,False
210,Terrell Brandon,Terrell,Brandon,False
76238,Bob Brannum,Bob,Brannum,False
76239,Brad Branson,Brad,Branson,False
76240,Jesse Branson,Jesse,Branson,False
1629714,Jarrell Brantley,Jarrell,Brantley,False
76241,Jim Brasco,Jim,Brasco,False
76242,Mike Bratz,Mike,Bratz,False
76243,Carl Braun,Carl,Braun,False
1629649,Ignas Brazdeikis,Ignas,Brazdeikis,True
160,Tim Breaux,Tim,Breaux,False
2452,J.R. Bremer,J.R.,Bremer,False
76245,Pete Brennan,Pete,Brennan,False
76246,Tom Brennan,Tom,Brennan,False
76247,Randy Breuer,Randy,Breuer,False
201147,Corey Brewer,Corey,Brewer,False
2249,Jamison Brewer,Jamison,Brewer,False
76248,Jim Brewer,Jim,Brewer,False
76249,Ron Brewer,Ron,Brewer,False
200758,Ronnie Brewer,Ronnie,Brewer,False
2056,Primoz Brezec,Primoz,Brezec,False
76250,Frank Brian,Frank,Brian,False
783,Frank Brickowski,Frank,Brickowski,False
76252,Junior Bridgeman,Junior,Bridgeman,False
76253,Bill Bridges,Bill,Bridges,False
1628969,Mikal Bridges,Mikal,Bridges,True
1628970,Miles Bridges,Miles,Bridges,True
76254,Al Brightman,Al,Brightman,False
1628578,Amida Brimah,Amida,Brimah,False
76255,Audley Brindley,Audley,Brindley,False
1628515,Isaiah Briscoe,Isaiah,Briscoe,False
76256,John Brisker,John,Brisker,False
1629052,Oshae Brissett,Oshae,Brissett,True
76257,Allan Bristow,Allan,Bristow,False
76258,Tyrone Britt,Tyrone,Britt,False
76259,Wayman Britt,Wayman,Britt,False
76260,Mike Brittain,Mike,Brittain,False
76261,David Britton,David,Britton,False
201972,Jon Brockman,Jon,Brockman,False
1629151,Ryan Broekhoff,Ryan,Broekhoff,False
76262,Jim Brogan,Jim,Brogan,False
1627763,Malcolm Brogdon,Malcolm,Brogdon,True
76263,Gary Brokaw,Gary,Brokaw,False
76264,Price Brookfield,Price,Brookfield,False
201166,Aaron Brooks,Aaron,Brooks,False
1629717,Armoni Brooks,Armoni,Brooks,True
1628415,Dillon Brooks,Dillon,Brooks,True
76265,Kevin Brooks,Kevin,Brooks,False
202705,MarShon Brooks,MarShon,Brooks,False
76266,Michael Brooks,Michael,Brooks,False
418,Scott Brooks,Scott,Brooks,False
2810,Andre Brown,Andre,Brown,False
1626148,Anthony Brown,Anthony,Brown,False
76284,Bob Brown,Bob,Brown,False
201628,Bobby Brown,Bobby,Brown,False
1628971,Bruce Brown,Bruce,Brown,True
1630602,Chaundee Brown,Chaundee,Brown,True
359,Chucky Brown,Chucky,Brown,False
2245,Damone Brown,Damone,Brown,False
76270,Darrell Brown,Darrell,Brown,False
244,Dee Brown,Dee,Brown,False
200793,Dee Brown,Dee,Brown,False
201974,Derrick Brown,Derrick,Brown,False
2484,Devin Brown,Devin,Brown,False
2081,Ernest Brown,Ernest,Brown,False
76272,Fred Brown,Fred,Brown,False
76273,George Brown,George,Brown,False
1871,Gerald Brown,Gerald,Brown,False
76275,Harold Brown,Harold,Brown,False
203913,Jabari Brown,Jabari,Brown,False
1627759,Jaylen Brown,Jaylen,Brown,True
76276,John Brown,John,Brown,False
2208,Kedrick Brown,Kedrick,Brown,False
2198,Kwame Brown,Kwame,Brown,False
76278,Leon Brown,Leon,Brown,False
76279,Lewis Brown,Lewis,Brown,False
203485,Lorenzo Brown,Lorenzo,Brown,False
992,Marcus Brown,Marcus,Brown,False
203900,Markel Brown,Markel,Brown,False
1479,Mike Brown,Mike,Brown,False
1629650,Moses Brown,Moses,Brown,True
76277,Myron Brown,Myron,Brown,False
136,P.J. Brown,P.J.,Brown,False
753,Randy Brown,Randy,Brown,False
76282,Raymond Brown,Raymond,Brown,False
76283,Rickey Brown,Rickey,Brown,False
76286,Roger Brown,Roger,Brown,False
200769,Shannon Brown,Shannon,Brown,False
76285,Stan Brown,Stan,Brown,False
1628425,Sterling Brown,Sterling,Brown,True
2357,Tierre Brown,Tierre,Brown,False
76268,Tony Brown,Tony,Brown,False
1630535,Greg Brown III,Greg,Brown III,True
1629718,Charlie Brown Jr.,Charlie,Brown Jr.,False
1628972,Troy Brown Jr.,Troy,Brown Jr.,True
76287,Jim Browne,Jim,Browne,False
76288,Stanley Brundy,Stanley,Brundy,False
1628973,Jalen Brunson,Jalen,Brunson,True
1594,Rick Brunson,Rick,Brunson,False
1627852,Nicolas Brussino,Nicolas,Brussino,False
1629091,Elijah Bryant,Elijah,Bryant,True
76289,Emmette Bryant,Emmette,Bryant,False
76290,Joe Bryant,Joe,Bryant,False
977,Kobe Bryant,Kobe,Bryant,False
95,Mark Bryant,Mark,Bryant,False
1628418,Thomas Bryant,Thomas,Bryant,True
76291,Wallace Bryant,Wallace,Bryant,False
76292,Torgeir Bryn,Torgeir,Bryn,False
1629783,Shaq Buchanan,Shaq,Buchanan,True
76293,Joe Buckhalter,Joe,Buckhalter,False
76294,Steve Bucknall,Steve,Bucknall,False
76295,Cleveland Buckner,Cleveland,Buckner,False
1761,Greg Buckner,Greg,Buckner,False
76296,Quinn Buckner,Quinn,Buckner,False
76297,Dave Budd,Dave,Budd,False
201978,Chase Budinger,Chase,Budinger,False
76298,Walter Budko,Walter,Budko,False
146,Jud Buechler,Jud,Buechler,False
1934,Rodney Buford,Rodney,Buford,False
672,Matt Bullard,Matt,Bullard,False
203493,Reggie Bullock,Reggie,Bullock,True
76300,Greg Bunch,Greg,Bunch,False
76301,Dick Bunt,Dick,Bunt,False
76302,Bill Buntin,Bill,Buntin,False
76303,Luther Burden,Luther,Burden,False
2469,Pat Burke,Pat,Burke,False
203504,Trey Burke,Trey,Burke,True
76304,Roger Burkman,Roger,Burkman,False
202692,Alec Burks,Alec,Burks,True
2766,Antonio Burks,Antonio,Burks,False
101207,Kevin Burleson,Kevin,Burleson,False
76305,Tom Burleson,Tom,Burleson,False
76306,Jack Burmaster,Jack,Burmaster,False
76307,David Burns,David,Burns,False
76308,Evers Burns,Evers,Burns,False
76309,Jim Burns,Jim,Burns,False
197,Scott Burrell,Scott,Burrell,False
76311,Art Burris,Art,Burris,False
675,Junior Burrough,Junior,Burrough,False
76313,Bob Burrow,Bob,Burrow,False
1629126,Deonte Burton,Deonte,Burton,False
76314,Ed Burton,Ed,Burton,False
416,Willie Burton,Willie,Burton,False
76316,Steve Burtt,Steve,Burtt,False
76317,Don Buse,Don,Buse,False
202221,Brian Butch,Brian,Butch,False
76318,Donnie Butcher,Donnie,Butcher,False
76319,Al Butler,Al,Butler,False
2406,Caron Butler,Caron,Butler,False
202364,Da'Sean Butler,Da'Sean,Butler,False
76320,Greg Butler,Greg,Butler,False
2866,Jackie Butler,Jackie,Butler,False
